,german,italian,chineese,spanish,french
109,"If you are exposed to carbon monoxide and the source of the leak has been found and fixed, i.e. the source is the furnace and has been turned off by the gas company and the air is clear, is it still necessary to do the oxygen treatments and/or blood tests or will the levels in your body return to normal afterward? I understand there can be long term effects depending on the length of exposure, but if you do not lose consciousness, are the treatments still necessary? Should someone still be getting oxygen treatment, blood tests, CT scans, cardiopulmonary scans? If the problem has been fixed and the air is clear, was it o","once you are exposed to carbon monoxide and the source of the leak has been found and fixed, e.g. the source is the furnace and turned off by the gas company and the air is clean, is it still necessary to have oxygen treatments and/or blood tests or do the levels in the body return to normal afterwards? I understand there could be long term effects depending on the length of exposure, but if you do not lose consciousness, are treatments still necessary? Should anyone still have oxygen treatments? Blood tests, CT scans, heart lung scans? If the problem has been fixed and the air is clean, was it or","Once you have been exposed to carbon monoxide and the source of the leak has been found and resolved, i.e. the leak was the furnace and was shut off by the gas company and the air is clear, do you still need oxygen therapy and/or blood tests or will the levels in your body return to normal afterward, I understand there could be long term effects depending on the length of exposure, but if you have not lost consciousness, do you still need treatment, do you still need someone to give you oxygen therapy, blood tests, CT scans, heart and lung scans, if the problem has been resolved and the air is clear, then it has been","Once you are exposed to carbon monoxide and the source of the leak is found and resolved i.e. the source of the gas company is oven and the air is clear if you still need to have the oxygen treatments and blood tests or have the levels in your body return to normal afterwards, I understand there could be long term effects based on the term of exposure but if you do not lose consciousness the treatments are still necessary if someone still has oxygen treatment has been resolved and the air is clear it has been or","once you are exposed to carbon monoxide and the source of the leak is found and resolved, i.e. the source is the furnace and shut off by the gas company and the air is clear, is it still necessary to have oxygen treatments and/or blood tests or do the levels in your body return to normal afterward? I understand there could be long term effects depending on the length of exposure, but if you do not lose consciousness, are treatments still necessary? Does anyone still need to have oxygen treatment? Blood tests, CT scans, heart lung scans? If the problem has been resolved and the air is clear, it has been"
110,"Dear Sir, I feel weak in my body especially in the morning so I want to know the solution to my problem because this has been in the body joints, knees and arms for a long time, thank you","dear sir i feel weak in my body especially in the morning so i would like to know the solution to my problem because i have been having pain in my body joints, knees and arms for a long time thanks","Dear Sir, I feel weak especially in the morning so I want to know the solution to my problem as this has been present long time ago in body joints knees and arms, thanks","Dear Sir, I am feeling weak in my body especially in the morning so I want to know the solution for my problem because this is long time ago in my knee joints and body thanks",dear sir i feel weak in my body especially in the morning so i want to know the solution to my problem because it has been long time in my body joints knees and arms thanks
111,My 3 year old son found my bleach in the laundry and I suspect he swallowed some of it. How do I treat this please?,"my 3 year old found my bleach in the laundry room and i suspect he swallowed some, how can i treat this problem please?","My 3 year old son found my bleach in the laundry room and I suspect he swallowed some, what should I do?",My 3 year old son found my bleach in the laundry and I suspect he swallowed some. How can I fix this please?,"my 3 year old boy found my bleach in the laundromat and i suspect he swallowed some, how should i deal with this please"
112,"i have read about TMS therapy, do you know anything about it, was it successful, also wondering if it can help with ect, finally i was told that acupuncture can help with mood disorders, is that also true for mixed bipolar and generalized anxiety disorder along with medication, have you ever heard of it?","I read about TMS therapy, do you know anything about it? Has it been successful? I was also wondering about etc. Finally I was told that acupuncture can help with mood disorders. Is this also true for mixed bipolar disorder and generalized anxiety disorder along with medications? Have you ever heard of it?","I have read about tms therapy, do you know what effects it has? I wonder too wait, last I heard acupuncture can help with mood disorders, would this work for mixed bipolar disorder and generalized anxiety disorder? Have you heard of this?",,"I have read about TMS therapy. Do you know anything about it? Has it been successful? I am also wondering about acupuncture? Finally, I have been told that acupuncture can help with mood disorders. Is this true for mixed bipolar disorder and generalized anxiety disorder as well as medications? Have you heard of this?"
113,I am wondering what over the counter medications I can take for an autoimmune nerve disease. Please help me. I would be very grateful. Thank you.,,I would love to know what over the counter medications I can take for my autoimmune neurological disorder so please help me I would really appreciate it thank you,I am hurting what over the counter medications can i take for autoimmune nerve disorder so please help me i really appreciate it thanks,I am wondering what over the counter medications I can take for autoimmune nervous disease so please help me I would really appreciate it thanks
114,"How do you deal with anxiety and the impending feeling that I'm about to have a heart attack? I take clonazepam and it helps, but I'd rather be the person I once was without this condition. How can I train my brain to not think I'm about to have a heart attack?",how do i deal with the anxiety and the looming feeling that i am having a heart attack? i am taking clonazepam which helps but i would rather be the person i was before without this condition. how can i retrain my brain to not think that a heart attack is about to hit me?,How does one deal with anxiety and the imminent feeling of having a heart attack? I am taking Clonazepam which helps but I would rather go back to the way I was before without this condition. How can I retrain my brain to not think about a heart attack about to hit me?,"How do you deal with anxiety and the impending feeling that I'm about to have a heart attack? I'm on Clonazepam which helps but I'd rather go back to the person I used to be without this condition, how can I retrain my brain to not think? A heart attack is about to hit me","How do I deal with anxiety and the impending feeling that I am about to have a heart attack? I take clonazepam which helps, but I would rather go back to the person I was without this condition. How can I retrain my brain so that it doesn't think a heart attack is about to hit me?"
115,"Dear sir, my name is an Indian name sir, my sister is 27 years old, according to the doctor she is suffering from anemia and having blood loss, please sir, is there any medicine for anemia please sir?",,"Dear Sir, my name is from India, actually sir, my sister is 27 years old, according to the doctor, she is suffering from anemia and is losing blood, sir, is there any medicine to fight anemia, sir","Dear Sir, My name is Name from India. Actually Sir, my sister is 27 years old. According to the doctor, she is anemic and has suffered from blood loss. Please Sir, any medicine for anemia? Please Sir.","Dear Sir, My name is Indian. Actually Sir, My sister is 27 years old. According to the doctor, she is suffering from anemia and has lost blood. Please contact me if you have any medicine for anemia. Plzzzzzzzzzzzz sir"
120,"I have foot drop symptoms, I think radiation caused them last year my left foot is numb, tingling and inflamed please help and call me on my mobile for further comments Contact","I have symptoms of foot drop, I think it was caused by radiation last year, my left foot is numb, tingling and inflamed, please help me and call my cell for more comments.","I have foot drop symptoms and I think it is caused by radiation, I have had numbness, tingling and inflammation in my left foot for the last year, please help, call my cell phone for more reviews, contact details","I have foot drop symptoms, I think the radiation caused them. For the past year my left foot has been numb, tingling and swollen. Please help and call my cell phone for further feedback. Contact me.",
121,clinicaltrialsgov Question General Information I am from Canada and I injured myself at work in August. A few neurologists I have seen have suggested that I may have complex regional pain syndrome but due to the knotting of my hand they are refusing to believe it. I have not been diagnosed so I am trying to find a diagnosis so my arm can be repaired. Any suggestions are greatly appreciated. Thanks. Name,clinicaltrialsgov general information question I am Canadian I was injured in August at work some neurologists I consulted suggested that I may have complex regional pain syndrome but because of my twisted hand they ruled that out I have not received a diagnosis so I am trying to find a diagnosis so my arm can be repaired any suggestions would be greatly appreciated thanks name,clinicaltrialsgov question general information im from canada and got injured at work in august some neurologists i have seen have suggested i may have complex regional pain syndrome but due to the twisting of my hand they dismissed my diagnosis so i am trying to find a diagnosis so i can fix my arm any advice is more than welcome thanks your name,General Information Clinical Question General Information I am from Canada I was injured in August at the working neurologists I have seen have suggested I might have Complex Regional Pain Syndrome but because my hand is sagging I have not been diagnosed so I am trying to find a diagnosis so my arm can be repaired any suggestions would be most welcome thank you,"Question on ClinicalTrialsgov General Information I am from Canada and was injured in August at work. Some neurologists I have seen have suggested that I may have complex regional pain syndrome, but due to my hand knotting, they are dismissing it. I have not been diagnosed, so I am trying to find a diagnosis so my arm can be fixed. Any suggestions would be appreciated. Thanks. Name"
122,"hello, my name is name. I started taking Tecfedera as prescribed sometime in April. I started on the 12th dose and immediately experienced redness and swelling of my lips and nose. I called my doctor. He said this is not unusual. I take an aspirin tablet with each dose. I took it and it seemed to subside. I started taking the full dose every day. My pain increased after a few weeks. The pain I usually had during sudden flare-ups had now multiplied to an unbearable level. I stopped taking Tecfedera. Unfortunately, the pain did not subside. To this day, my pain level is at its maximum. Nothing I have taken, such as Percocet, Oxycodone, etc., does not help.",hi my name is name i started taking tecfedera in april as prescribed i started with the 12 dose and immediately had a red swelling on my lips and nose i called my doctor and he said its not uncommon to take an aspirin with every dose i took and it seemed to go down i started the full dose every day i took the pill my pain increased after a few weeks the pain i usually had during flare ups had multiplied to an intolerable level i stopped taking tecfedra unfortunately the pain has not gone away until today my pain level is at max nothing i have taken like percocet oxycodone etc i dont r,Hi my name is name i started taking tecfedra in april i took 12 doses as prescribed and immediately developed redness and swelling on my lips and nose i called my doctor and he said it was common and to take an aspirin with each dose and it seemed to have reduced i started taking the full dose daily and after a few weeks of taking the tablets my pain increased the pain i normally experience during an attack has now increased exponentially to unbearable levels i stopped the tecfedra and unfortunately the pain has not reduced and my pain levels are at their maximum until today and the medications i have taken such as percocet oxycodone have not helped,"Hi my name is name. I started taking Tecfedera sometime in April as prescribed. I started on the 12th dose and immediately had redness and swelling of my lips and nose. I called my doctor and he said it is not uncommon for me to take an aspirin with every dose I took and it seemed to subside. I started on the full dose every day, took the pill. My pain increased after a few weeks, the pain I used to have in flare ups had now multiplied to an intolerable level. I stopped taking Tecfedera, unfortunately the pain did not subside until today. My pain level is at its highest. Nothing I have taken such as Percocet, Oxycodone, etc. does not make it better.","Hello, my name is Nom, I started taking Tecfedra in April as prescribed. I started with the 12 dose and immediately had flushing and swelling of my lips and nose. I called my doctor, he said it was not uncommon to take an aspirin with every dose I took and it seemed to go away. I started the full dose everyday. I took the pill. My pain increased after a few weeks. The pain I usually had during flare ups had now multiplied to an intolerable level. I stopped the Tecfedra. Unfortunately the pain has not gone away to this day. My pain level is at an all time high. Nothing I have taken such as percocet, oxycodone, etc will go away."
123,"my daughter said there was a study done and it concluded that methadone can cause COPD. Do you know if this is true and if so, where can I get information about it? Thanks. Name","My daughter said there was a study that concluded that methadone can cause COPD. Do you know if there is any truth to this, and if so, where can I find information about it? Thanks. Name.","My daughter said there was a study that concluded that methadone causes COPD, do you know if this is true? If so where can I find the information, thanks for the name",,"My daughter said that a study was done and it concluded that methadone can cause COPD. Do you know if there is any truth to this statement and if so, where can I get information on it? Thanks."
124,Is there any information from women who have it or use it? I would like to know how they react to the drug. Thanks for your help.,Is there any information available from women who have or are using it? I would like to know what their reactions are to the drug. Thanks for your help.,Is there any information from women who have used or are currently using this drug? I would like to know how they reacted to it. Thanks for your help.,,Is there any information available from women who have or are using it? I would like to know what their reactions to the medication are. Thanks for your help
125,Hydrocortisone has serious side effects and I have to take it because of panhypopituitarism. Are there better tolerated alternatives? Thank you. Name,there are serious side effects of hydrocortisone and i have to take it because of panhypopituitarism are there other more tolerable substitutes thanks name,"Hydrocortisone has severe side effects and I have to take it due to panhypopituitarism, is there a more tolerable alternative, thanks","There are serious side effects to hydrocortisone and I have to take it because of panhypopituitarism, are there more tolerable replacements?",Hydrocortisone has serious side effects and I have to take it because of panhypopituitarism. Are there any more tolerable substitutes? Thanks.
126,about Glucosamine sulfate will Glucosamine sulfate affect the kidneys will it increase the potassium content in a person,Glucosamine Sulfate Information Does glucosamine sulfate affect the kidneys? Does it increase potassium content in a person?,About glucosamine sulfate Does glucosamine sulfate affect the kidneys? Does it increase the potassium content in the human body?,about glucosamine sulfate will glucosamine sulfate affect the kidneys? will it increase the potassium content in a person?,about glucosamine sulfate will glucosamine sulfate affect the kidneys will it increase potassium in a person
127,Can you please tell me the results of clinical trials investigating a link between Buproprion Wellbutrin and cancer? Is there a higher rate of cancer in patients who have taken Buproprion long-term than in a control group?,can you please tell me the results of any clinical studies investigating a correlation between buproprion wellbutrin and cancer? Is there a higher incidence of cancer rates in patients who have taken buproprion long term compared to a control group?,,Can you tell me the results of any clinical trials investigating a correlation between buproprium wellbutrin and cancer?,
128,This pesticide was used to get rid of bed bugs. It was sprayed in my area where I had to sleep on a sofa bed. I was not told about this and slept through 4 applications over a 10 week period. I have one lung and severe COPD. Should I have used this if I knew about my breathing problems?,"this pesticide was used to get rid of bed bugs where i live, it was sprayed in areas where i had to sleep on the couch bed, i was not informed of this and i slept through 4 applications in a 10 week period, i have one lung and severe COPD, should it have been used knowing about my breathing problems?","This insecticide is for bed bugs where I live, it was sprayed where I had to sleep on the sofa bed, I was not told about this, and in a 10 week period I slept and it was sprayed 4 times, I have one lung and severe COPD, should this insecticide be used knowing my breathing issues","This pesticide was used to get rid of bed bugs where I live, it was sprayed in areas I had to sleep on the couch. it has been used knowing about my respiratory problems","This pesticide was used to get rid of bed bugs where I live, it was sprayed in areas where I had to sleep on a sofa bed, I was not told about it and I slept through 4 applications over a 10 week period. I have one lung and severe COPD. Should this have been used knowing my breathing problems?"
129,"i have had many gout attacks since i was 30 years old, now i am 70, i take allopurinol and blood pressure medication, before i took allopurinol i never had high blood pressure, also i developed basal cell cancer, i heard that allopurinol reduces the acid in your system","I have had many gout attacks since I was 30, now I am 70, I take allopurinol and blood pressure medication, before taking allopurinol I never had high blood pressure, also I developed basal cell carcinoma of the skin, I have heard that allopurinol reduces acidity in the system","I have had many gout attacks since I was 30, I am now 70, I take allopurinol and blood pressure medication, I never had high blood pressure before taking allopurinol, and I also had basal cell skin cancer, I heard that allopurinol causes a decrease in acid in the body","I have had many gout attacks since I was 30, I am now 70. I take allopurinol and blood pressure medication before taking allopurinol, I never had high blood pressure, I have also developed basal cell skin cancer. I have heard that allopurinol will cause the acid in your system to reduce.","I have had many gout attacks since I was 30, now 70, I take allopurinol and blood pressure medication. Before taking allopurinol I never had high blood pressure. I also developed basal cell skin cancer. I have heard that allopurinol will cause a reduction in acid in your system."
130,What is the best way to treat a 7-year-old boy with ADHD naturally without prescription medication?,What is the best way to naturally cure a 7 year old with ADHD without prescription drugs?,What is the best way to treat ADHD in a 7 year old boy naturally without prescription drugs?,What is the best way to naturally treat a 7 year old with ADHD without prescription drugs?,
131,Dupuytren's Contracture I am looking for a natural remedy for Dupuytren's Contracture Do you have any suggestions? Thanks Name,dupuytren's contracture I'm looking for a natural remedy for dupuytren's contracture do you have any suggestions thanks name,Dupuytren's Contracture I'm looking for natural treatments for Dupuytren's Contracture do you have any suggestions Thanks Name,,
132,I have celiac disease and have to start taking Coumadin Warfarin. I am also very allergic to food coloring. Which manufacturer has gluten and coloring free Warfarin? Please help me. I have to start taking it tomorrow. Thank you very much. Name,"I have celiac disease and I have to start taking Coumadin and Warfarin, I am also very allergic to food dyes. Which manufacturer has Warfarin without gluten and dyes? Please help. I have to start taking it tomorrow. Thank you very much. Name.",I have celiac disease and need to start taking warfarin and I am allergic to food dyes which manufacturer has warfarin that is gluten free and dye free please help me I need to start taking it tomorrow thank you so much for your name,I have Celiacdisease and Need to Startcoumadin Warfarin also I am very allergic to food Coloringdyes What the manufacturer has Gluten and Warfarin without dye please help me to start taking it tomorrow thank you very much.,"I have celiac disease and need to start taking coumadin and warfarin. I am also very allergic to food dyes. What manufacturer has gluten free and dye free warfarin? Please help, I need to start taking it tomorrow. Thank you very much."
133,"I am pleased to inform you that all your medications are gluten free. Levothyroxine tablet 0.05 mg is gluten free. Does Levothyroxine tablet 0.05 mg contain dairy products, including lactose and casein? Thank you.","I am happy to note that all your medications are gluten free, Levothyroxine 005mg tablet is gluten free, is there any dairy products including lactose casein in Levothyroxine 005mg tablet? Thank you.","I am pleased to note that all of your medications are gluten free, 005 mg levothyroxine tablets are gluten free, does 005 mg levothyroxine tablets contain any dairy products including lactose casein, thank you",I am glad to hear that all your medicines are gluten free. Levothyroxine 0.05 mg tablet is gluten free. Are there any dairy products including lactose and casein in Levothyroxine 0.05 mg tablet? Thank you.,I am glad to see that all your medications are gluten free. Levothyroxine 005 mg tablet is gluten free. Is there any dairy products including lactose and casein in Levothyroxine 005 mg tablet? Thank you
134,"I have a gluten allergy and have taken Klorcon from another pharmaceutical company in the past, her pharmacist said it was gluten free. Sandoz is a new product for me and I am wondering if their Klorcon M20 Tabs 20meq contains gluten. The refill was processed by Express Scripts 03. I am just starting this refilled prescription.","I have gluten allergies and have taken klorcon made by another drug company in the past, their pharmacist said it was gluten free, sandoz is a new manufacturer to me and I was wondering if their klorcon m20 20meq tablets contain gluten, the refill was processed by express scripts on 03 on the date I just started this refilled prescription","I am allergic to gluten and have taken klorcon from another pharmaceutical company in the past and their pharmacist said it was gluten free, sandoz is a new manufacturer to me and I would like to know if their klorcon m20 tabs 20meq contain gluten, the supplemental medication is handled on 03 express script and I have just started taking this supplemental medication","I have gluten allergies and have taken Klorcon MFG from another pharmaceutical company in the past, their pharmacist said it was gluten free, Sandoz is a new MFG for me and I'm wondering if their Klorcon M20 20Meq tabs contain any gluten, the filler was processed by Express Scripts. 03 As of date, I'm just starting this recipe collected","i have gluten allergies and have taken klorcon made by another drug company in the past, their pharmacist said it was gluten free, Sandoz is a new manufacturer to me and i am wondering if their Klorcon M20 20meq tablets contain gluten, the refill was processed by Express Scripts on 03 to date, i have just started this refill prescription"
135,"are there any sulfates, sulfa in Kapvay that I am allergic to<PAD><PAD><PAD><PAD><PAD><PAD><PAD>",,Does kapvay contain sulfonamide sulfite? I am allergic to it <PAD><PAD><PAD><PAD><PAD><PAD><PAD>,Is there any Sufites sulfa sulfate in kapvay I am allergic <pad> <pad> <pad> <pad> <mad> <mad> <mad>,are there sulfites sulfates sulfa in kapvay i am allergic<PAD><PAD><PAD><PAD><PAD><PAD><PAD>
136,hi I was just wondering where the maltodextrin unii 7cvr7l4a2d in your product dextroamphetamine sulfate dextroamphetamine sulfate tablet NDC codes 0555095202 0555095302 came from. I was prescribed this medication and just wanted to make sure it was from corn or something other than wheat because I am allergic to gluten,,"Hi I was just wondering where the maltodextrin unii 7cvr7l4a2d in your product comes from, dextroamphetamine sulfate dextroamphetamine sulfate tablets ndc code 0555095202 0555095302 I have been prescribed this medication and just wanted to make sure it is from something other than corn or wheat as I am allergic to gluten",Hi I was wondering the source of the maltodextrin unii 7cvr7l4a2d in your product dextroamphetamine sulfate dextroamphetamine sulfate tablet NDC Codes 0555095202 05555555095302 I was prescribed this medication and just wanted to make sure it was sourced from a corn or something along the lines of because I am at the same time prescribed this medication.,
137,"Hi, I would like to know if it would be OK if I drink some red wine. It would be no more than 1 or 2 glasses a week, thanks.",hi I would like to know if it would be okay if I drank red wine no more than 1 glass or 2 glasses a week thanks,"Hi, I would like to know if it is ok for me to drink some red wine, no more than 1 or 2 glasses per week, thanks","Hello, I would like to know if it would be okay if I drank a little red wine, no more than 1 or 2 glasses per week, thank you.","Hello, I would like to know if I could drink red wine, it would not be more than one glass or two glasses per week, thank you."
138,I received the pneumococcal polysaccharide 23 vaccine in 2009 at age 67. I was told I would never need the vaccine again. Is this still true or has the vaccine been updated? Should I get it again now at age 72?,I received the pneumococcal polysaccharide 23 vaccine in 2009 at age 67 and was told I would never need the vaccine again. Is this still true or has the vaccine been updated? Should I get it again now that I am 72?,,I received the pneumococcal polysaccharide 23 vaccine in 2009 at the age of 67. I was told I would never need the vaccine again. Is this still true or has the vaccine been updated? Should I get it again now at the age of 72?,I received the pneumococcal polysaccharide 23 vaccine in 2009 at age 67. I was told I would never need the vaccine again. Is this still true or has the vaccine been updated? Do I need to get it again now at age 72?
139,"Hi, an explanation what is the difference between myeloid and lymphocytic leukemia would be helpful, great work, thanks","hi, an explanation of what the difference is between the types of myeloid and lymphocytic leukemia would be helpful, great work thanks","Hi, it would be helpful to explain the difference between myeloid leukemia and lymphocytic leukemia, thanks",,"Hello, an explanation of the difference between myeloid and lymphocytic leukemia types would be helpful, excellent work, thanks"
141,my sister has high levels of vitamin D in her systemBlood test Her specialist can't find the cause. Could there be a connection with her pituitary gland? Her thyroid was removed 3 years ago and breast cancer was removed and cured by radiation 2 years ago,"my sister has high vitamin D in her system, blood tests, her specialist can't find the cause, would there be any connection with her pituitary? She had her thyroid removed 3 years ago and breast cancer, the cancer was removed and treated with radiation 2 years ago?","My sister has high vitamin D and blood work showed her specialist can’t find the cause, could it be related to her pituitary? She had her thyroid removed 3 years ago and had breast cancer, had the cancer removed and radiation treatment and was cured 2 years ago",My sister has a high level of vitamin D in her system. Her specialist can't find the cause in her blood tests. Could there be a connection with her pituitary gland? She had her thyroid gland removed 3 years ago and has breast cancer. She had the cancer removed and received radiation. She was cured 2 years ago.,my sister has high vitamin D in her system. Her specialist can't find the cause from blood tests. Could it be related to her pituitary gland? Her thyroid gland was removed 3 years ago and the breast cancer was removed and she had radiation. She was cured 2 years ago.
143,"We have 14 siblings in our family, at least 10 of whom have had frozen shoulder. We wonder why we should be concerned","We have 14 siblings in our family, at least 10 of us have had frozen shoulder and we wonder why we should worry",We have 14 siblings in our family and at least 10 of them have frozen shoulder and we wonder why we should worry,"We have 14 siblings in our family, at least 10 of us have had a frozen shoulder, we wonder why we should worry","we have 14 siblings in our family, at least 10 of us have had frozen shoulder, we wonder why should we worry"
145,"whenever I eat something within 10-15 minutes I get mild stomach cramps and have to rush to the bathroom. My stool changes from slightly solid to liquid. What causes this? I am afraid to eat in restaurants. This has been happening for about 3 years now. I am a 53 year old African American woman, 5'7"", never had children, and about 50 lbs overweight.","every time i eat something within 1015 minutes i start getting mild stomach cramps and have to run to the bathroom and my stools go from slightly hard to runny what is causing this i am afraid to eat out at restaurants this has been happening for about 3 years now i am a 53 year old african american female 5'7"" never had kids about 50 lbs overweight","Whenever I eat within 10-15 minutes I start to get mild stomach cramps and I have to rush to the bathroom and my stools go from slightly hard to liquid, what is causing this, I am afraid to eat in restaurants, this has been going on for about 3 years now I am a 53 year old 5-7 year old African American female, never had kids, about 50 pounds overweight",Every time I eat something within 1015 minutes I start getting little stomach cramps and have to rush to the bathroom and my stool is kind of firm to watery. 53 years old 5'7 in tall African American female Never had children about 50 lbs overweight,"every time i eat something within 10-15 minutes i start getting slight stomach cramps and have to rush to the bathroom and my stools go from slightly firm to watery. what causes this? i am afraid to eat out. this has been happening for about 3 years now. i am a 53 year old african american female who is 5'3"" tall, never had children and am about 50 lbs overweight."
147,I have been bleeding since 2010 and since 2014 I have severe pain on the left side of the abdomen and my abdomen is so big and I feel weak. I have done many tests and nothing was found what could be wrong with me and how can I overcome it?,i have been bleeding since 2010 and i have been having severe pain on the left side of my stomach since 2014 and my stomach is so big and i feel weak i have done many tests and nothing was seen what could be wrong with me and how can i get better,"I have been bleeding since 2010 and since 2014 I have had severe pain in my left abdomen, my stomach is very big and I feel very weak, I have done many tests but nothing has been found to be wrong with me, how can I overcome this",I have been bleeding since 2010 and have had sharp pain in my left stomach since 2014 and my stomach is so big that I feel weak. I have had many tests done and nothing has been seen. What could be wrong with me and how can I overcome it?,"i have been bleeding since 2010 and i have sharp pain on my left belly since 2014 and my belly is so big and i feel weak, i have done many tests and nothing was seen, what is wrong with me and how can i overcome"
150,my grandfather tested PSA value of 0.430 ngml. He is 86 years old. My question is whether this value is normal or harmful for his health.,my grandfather has examined the psa test value which is 0430 ngml his age is 86 years my question is this value is normal for his health or harmful,My grandfather checked PSA test value was 0430 ngml his age is 86 years old my question is this value is normal or harmful for his health,,my grandfather examined the PSA test value is 0430 ngml his age is 86 years my question is this value normal for his health or harmful
151,she cries in pain and can't sleep at night because of it i think this is the most common age related condition because she wasn't born with it and i just want to know how to deal with it she has been to the doctor but he says with the operation there is only a 50/50 chance of survival that's just what she told me but i really wish there was something i could do to help or something we could do to stop the pain any help would be greatly appreciated she has had it for quite a while now maybe a couple of months or so and she says the pain is getting worse so i'm worried,she cries in pain and can't sleep at night because of this i think it's the most common one for her age because she wasn't born with it and i just want to know what i should do she's been to a doctor but he said with surgery there's only a 50-50 chance of survival that's just what he told me but i really wish there was something i could do to help her or something we could do to prevent the pain any help would be greatly appreciated she's had it for a while now maybe a few months or so and she says the pain is increasing that's why i'm worried,"She cries because of the pain and can't sleep at night, I think this is the most common since she wasn't born with it, I just want to know what I can do, she's been to the doctor but they said the chances of survival after surgery are only 5050, that's what she told me, but I really hope there's something I can do to help her or something we can do to prevent the pain, any kind of help would be greatly appreciated, she's been having it for a whole few months now and she says the pain is getting worse, that's why I'm worried",She cries in pain and can't sleep at night because of this I think it's the most common based on age because she wasn't born with it and I just want to know how I should do it she's been to a doctor but they say with surgery there's only a 5050 chance of survival is just what she told me but I really wish there was something I could do to help or something we could prevent the pain more or less and she says the pain is increasing so I get worried,"she cries in pain and can't sleep at night because of it, I think it's the most common depending on age because she wasn't born with it and I just want to know how I should go about it. She went to the doctor but they say with surgery there's only a 50% chance of survival. That's exactly what she told me but I really wish there was something I could do to help her or prevent the pain. Any kind of help would be extremely appreciated. She's been suffering from this for quite a while now, maybe a few months or so and she says the pain is getting worse which is why I'm worried."
152,"good morning, I am a student at Carver Military Academy on the far south side of Chicago. My classmates and I are doing a research project on social issues and problems that affect us every day. Mine is teen pregnancy. Since I was a teenager, I know how much of an impact having a child can have on our young lives. It can affect our academic performance and goals for the future. All our fun and dreams would end. I would like to ask someone from your organization a few questions because it looks like your organization could give me valuable information about teen pregnancy.","Hello, I am a student at Carver Military Academy on the far south side of Chicago. My classmates and I are doing a research project on social issues and problems that affect us every day. Mine is teenage pregnancy. Since I was a teenager I have known how having a child can really impact our young lives. It can stop our success in school, our goals for the future, all our fun and dreams would stop. I would like to ask a few questions to someone from your organization because it seems like your organization could provide me with valuable information on teenage pregnancy.","Good morning, I am a student at Carver Military Academy in the south end of Chicago, my classmates and I are working on a research project looking at social issues and troubles that we face every day, the trouble that I am facing is teenage pregnancy, since I am a teenager I know how having children can affect our young lives, they can prevent us from achieving in school, prevent us from reaching our future goals, prevent us from all the fun and dreams, I would like to ask someone in your organization a few questions, because it seems that your organization can provide me with valuable information about teenage pregnancy.","Good morning, I am a student at Carver Military Academy on the South End of Chicago. My classmates and I are doing a research project on social issues that affect us every day. Mine is teen pregnancy. Being a teen myself, I know that having a child can really affect our young lives. It can stop our achievements in school, our goals for the future, all of our fun would stop, and our dreams. I would like to ask someone from your organization some questions because it sounds like your organization could provide me with some valuable information about teen pregnancy.","Hello, I am a student at Carver Military Academy on the far south side of Chicago. My classmates and I are doing a research project on social issues and problems that affect us in our daily lives. Mine is teenage pregnancy. As a teenager, I know how much having a child can really affect our young lives. They can stop our achievements in academic goals for the future. All our fun would stop. And our dreams. I would like to ask someone from your organization a few questions because it seems like your organization could provide me with some valuable information on teenage pregnancy."
153,I had shingles on my face about 6 or 7 years ago. Should I still get the shingles vaccine? I really need to know that stress plays a big role in my life.,"I had shingles on my face about 6 or 7 years ago, should I still get shingles vaccine? I really need to know, stress is a big part of my life.","I had shingles on my face about 6 or 7 years ago, should I still get the shingles vaccine? I really need to know, I have a lot of stress in my life",I had shingles on my face about 6 or 7 years ago. Should I get the shingles vaccine? I really need to know that stress is a big part of my life.,I had shingles on my face about 6 or 7 years ago. Should I still get the shingles vaccine? I really need to know that stress is a big part of my life.
154,"hello, please clarify whether or not Qvar needs to be shaken before each use. There is some discrepancy between the Kaiser box label, your own instructions and a chart of inhalers that my doctor keeps in the office. Proair is very clear. Shake Qvar is not clear. Thanks. Name",hi please clarify if qvar needs to be shaken before each use there is some discrepancy between the kaiser box label your instructions and an inhaler chart my doctor keeps in the office proair is very clear shaking qvar is not clear thanks name,"Hi, could you please clarify if the qvar needs to be shaken before each use, there are some discrepancies between the instructions on the kaiser box label and the inhaler chart my doctor keeps in the office, the proair is very clear, the shaking of the qvar is not, thanks for your name","Hello, please clarify whether QVAR should be shaken or not before each use, there is some discrepancy between the Kaiser box.","Hello, please clarify if Qvar needs to be shaken before each use. There is some discrepancy between the Kaiser box label and your own instructions and a chart of inhalers that my doctor keeps in the office. Proair is very clear. Shaking Qvar is not clear. Thank you. Name"
