,spanish,french,chineese,italian,german
218,Tengo una secreción nasal y dolor de cabeza y tengo tumbas.,"j'ai le nez qui coule, des maux de tête et des plaques graves. Quel est le médicament contre le rhume le plus sûr à prendre en vente libre ?",我流鼻涕，头痛，并且有严重的感冒症状，有什么安全的非处方感冒药吗,"ho il naso che cola e mal di testa e ho le tombe, qual è un medicinale sicuro per il raffreddore da assumere senza ricetta?","ich habe eine laufende Nase und Kopfschmerzen und habe Morbus Basedow. Was ist ein sicheres Erkältungsmittel, das ich rezeptfrei einnehmen kann?"
219,"¿Hay una droga a tomar si en los últimos 4 días ha sido expuesto a la sangre contaminada de una persona hepana, es decir, drogas profolácticas para disminuir las posibilidades de infección, es decir, como Truvada para el VIH?","existe-t-il un médicament à prendre si vous avez été exposé au cours des 4 derniers jours au sang contaminé d'une personne atteinte d'hépatite C, par exemple un médicament profolactique pour réduire les risques d'infection, comme le truvada pour le VIH",如果你在过去 4 天内接触过受污染的丙型肝炎患者血液，是否有药物可以服用，例如促肝细胞癌药物，以减少感染机会，例如用于治疗艾滋病毒的特鲁瓦达,"c'è un farmaco da assumere se negli ultimi 4 giorni si è stati esposti al sangue contaminato di una persona affetta da epatite C, ad esempio il farmaco Profolactic per ridurre le possibilità di infezione, ad esempio come il Truvada per l'HIV?","Gibt es ein Medikament, das Sie einnehmen können, wenn Sie in den letzten 4 Tagen mit kontaminiertem Blut einer an Hepatitis C erkrankten Person in Kontakt gekommen sind, z. B. ein Medikament namens Profolactic, um das Infektionsrisiko zu verringern, z. B. Truvada gegen HIV?"
220,"Me hice una prueba de saliva en julio pasado que mostró mi nivel de cortisol a las 9:630 a. m. 51:11:30 a. m. 42:4:30 p. m. 33:9:30 p. m. Me despierto con frecuencia durante la noche y mi cerebro parece estar pensando mucho, lo que dificulta volver a dormirme. Me despierto mucho antes de que suene la alarma a las 5:45 y me arrastro fuera de la cama. Estoy exhausto todo el día y puedo quedarme dormido durante el día o la noche. He visto endocrinólogos además de mi ginecólogo y médico de atención primaria, todos los cuales me dicen que todos mis análisis de sangre son normales. Tomo 2 clases de yoga deportivo y una clase de qigong semanalmente. Era un joven de 65 años, pero a los 66 la falta de sueño finalmente me alcanzó.","j'ai fait un test salivaire en juillet dernier qui a montré mon niveau de cortisol à 9h30, 51h30, 11h30, 42h430 et 33h30. Je me réveille fréquemment pendant la nuit et mon cerveau semble s'engager dans beaucoup de pensées, ce qui rend difficile le retour au sommeil. Je me réveille bien avant l'alarme de 5h45 et je me traîne hors du lit. Je suis épuisé toute la journée et je peux m'endormir lors d'événements de jour ou de soirée. J'ai vu des endocrinologues en plus de mon gynécologue et de mon médecin traitant, qui m'ont tous dit que tous mes tests sanguins étaient normaux. Je prends 2 cours de yoga sportif et un cours de qi gong par semaine. J'étais un jeune de 65 ans, mais à 66 ans, le manque de sommeil m'a finalement rattrapé.",去年七月我做了唾液测试，结果显示我的皮质醇水平为上午 9 点 6:30、上午 51 点 11:30、下午 42 点 4:30、晚上 33 点 9:30。我夜间经常醒来，我的大脑似乎在思考很多事情，很难再次入睡。我在 5:45 闹钟响之前就醒了，然后拖着自己起床。我整天都精疲力竭，无论白天还是晚上都能睡着。除了妇科医生和初级保健医生外，我还看过内分泌科医生，他们都告诉我，我的所有血液测试结果都正常。我每周参加 2 节运动瑜伽课和 1 节气功课。我年轻时 65 岁，但到了 66 岁，睡眠不足终于让我苦不堪言。,"ho fatto un esame della saliva lo scorso luglio che ha mostrato il mio livello di cortisolo alle 9.630, 51.11.30, 42.4.30 e 33.9.30. mi sveglio spesso durante la notte e il mio cervello sembra essere impegnato in molti pensieri rendendo difficile riaddormentarmi mi sveglio molto prima della sveglia delle 5.45 e mi trascino fuori dal letto sono esausto tutto il giorno e riesco ad addormentarmi durante gli eventi diurni o serali ho visto endocrinologi oltre al mio ginecologo e al medico di base e tutti mi hanno detto che tutti i miei esami del sangue sono normali seguo 2 lezioni di yoga sportivo e una lezione di qi gong settimanalmente avevo 65 anni ma a 66 la mancanza di sonno mi ha finalmente raggiunto","ich habe letzten Juli einen Speicheltest gemacht, der meinen Cortisolspiegel um 9:630 Uhr, 51:11:30 Uhr, 42:30 Uhr und 33:21:30 Uhr anzeigte. ich wache nachts häufig auf und mein Gehirn scheint mit vielen Gedanken beschäftigt zu sein, was es schwierig macht, wieder einzuschlafen. ich wache lange vor dem Wecker um 5:45 Uhr auf und quäle mich aus dem Bett. ich bin den ganzen Tag erschöpft und kann bei Tages- oder Abendveranstaltungen einschlafen. ich war bei Endokrinologen, zusätzlich zu meinem Gynäkologen und meinem Hausarzt, die mir alle sagen, dass alle meine Bluttests normal sind. ich nehme wöchentlich an 2 Sportyoga-Kursen und einem Qi-Gong-Kurs teil. ich war jung, 65, aber mit 66 hat mich der Schlafmangel endlich eingeholt."
221,"Buenas noches, mi nombre es nombre, soy de Bosnia y Herzegovina, tengo 18 años, uso un audífono de implante coclear durante 14 años. Pero los médicos me dieron demasiado para que quemaron mi nervio auditivo, me gustaría saber si hay alguna forma de devolverme mi habilidad de audición sin usar ningún tipo de ayuda para el nombre de la fiel.",bonsoir je m'appelle nom je viens de bosnie herzégovine j'ai 18 ans je porte un implant auditif cochléaire depuis 14 ans je le porte parce que j'ai totalement perdu la capacité d'entendre quand j'avais onze mois j'avais de la fièvre j'ai donc utilisé de la garamycine mais les médecins m'en ont donné trop donc ils ont brûlé mon nerf auditif j'aimerais savoir s'il existe un moyen de me redonner ma capacité auditive sans utiliser aucune sorte d'aide votre fidèle nom,晚上好，我叫 名字，我来自波斯尼亚和黑塞哥维那，今年 18 岁，我佩戴人工耳蜗助听器 14 年了，我佩戴它是因为我完全失去了听力，当我十一个月大的时候，我发烧了，因此我使用了加拉霉素，但医生给了我太多的药物，所以他们烧坏了我的听觉神经，我想知道是否有任何方法可以让我恢复听力，而无需使用任何帮助你忠实的名字,buonasera mi chiamo name vengo dalla Bosnia ed Erzegovina ho 18 anni indosso un impianto cocleare da 14 anni lo indosso perché ho perso completamente la capacità di sentire quando avevo undici mesi avevo la febbre per questo ho usato la garamicina ma i dottori me ne hanno data troppa e mi hanno bruciato il nervo uditivo vorrei sapere se c'è un modo per farmi recuperare la capacità di udire senza usare alcun tipo di aiuto il tuo fedele nome,"guten Abend, mein Name ist Name, ich komme aus Bosnien und Herzegowina, ich bin 18 Jahre alt und trage seit 14 Jahren ein Cochlea-Implantat-Hörgerät, ich trage es, weil ich mein Gehör völlig verloren habe. Als ich elf Monate alt war, hatte ich Fieber, deshalb habe ich Garamycin genommen, aber die Ärzte haben mir zu viel davon gegeben, sodass mein Hörnerv verbrannt wurde. Ich würde gerne wissen, ob es eine Möglichkeit gibt, mein Gehör ohne jegliche Hilfe wiederherzustellen. Mit freundlichen Grüßen, Name"
222,"Hola, tengo un pequeño problema en los ojos, como un deslumbramiento o visión borrosa, y soy diabético tipo 2 desde 2010. Este problema ha estado ocurriendo durante cuatro o seis meses y tengo presión baja en el ojo derecho y la visión está un poco nublada y borrosa. Necesito saber cuál es mi problema y si se puede solucionar sin quedarme ciego. Responda al contacto. Se aceptan mensajes de voz o correo electrónico.","Salut, j'ai un petit problème oculaire comme un éblouissement ou une vision floue et je suis diabétique de type 2 depuis 2010, ce problème dure depuis maintenant quatre ou six mois et j'ai une basse pression dans mon œil droit et une vision trouble et floue un peu. J'ai besoin de savoir quel est mon problème et si cela peut résoudre et sans devenir aveuglant, répondre à la messagerie vocale ou au texte de contact sont acceptés ou contacter",你好，我的眼睛有点问题，比如眩光或视力模糊，我是 2 型糖尿病患者，自 2010 年以来，这个问题已经持续了四六个月了，我的右眼压力很低，而且有点浑浊和模糊，我想知道我的问题是什么，它能解决吗，而且不会让我眼花缭乱，请回复联系语音邮件或电子邮件文本，或联系,ciao ho un piccolo problema agli occhi come un abbagliamento o una visione offuscata e sono diabetico di tipo 2 dal 2010 questo problema si verifica ormai da quattro sei mesi e ho una bassa pressione nell'occhio destro e la vista è un po' annebbiata e sfocata ho bisogno di sapere qual è il mio problema e se può essere risolto senza diventare cieco rispondi alla segreteria telefonica o alla posta elettronica sono accettati messaggi di testo o contatta,"hallo, ich habe ein kleines Augenproblem wie Blendung oder verschwommene Sicht und ich bin seit 2010 Typ-2-Diabetiker. Dieses Problem besteht jetzt seit vier, sechs Monaten und ich habe einen niedrigen Druck in meinem rechten Auge und es ist trüb und verschwommen. Ich muss wissen, was mein Problem ist und kann es beheben, ohne dass ich erblinde. Antworten Sie auf den Kontakt. Voicemail oder E-Mail-Text werden akzeptiert oder kontaktieren Sie mich."
223,Prueba de tolerancia a la glucosa: ¿Mountain Dew es una bebida aceptable para la prueba de tolerancia a la glucosa?<PAD><PAD><PAD>,test de tolérance au glucose la boisson Mountain Dew est-elle acceptable pour le test de tolérance au glucose ?<PAD><PAD><PAD>,葡萄糖耐量测试 Mountain Dew 是一种可接受的葡萄糖耐量测试饮料吗<PAD><PAD><PAD>,test di tolleranza al glucosio mountain dew è una bevanda accettabile per il test di tolleranza al glucosio<PAD><PAD><PAD>,Glukosetoleranztest: Ist Mountain Dew ein geeignetes Getränk für den Glukosetoleranztest?<PAD><PAD><PAD>
224,"Mi hija, que nació hace 5 días, curiosamente resultó tener el tipo de sangre C. Después de descartar la mayoría de las causas, nos quedamos con una posible quimera gemela evanescente y no sabemos a dónde recurrir para obtener más información o investigación. En este momento, ni siquiera tenemos confirmación de si es xxxx o xxxy o la exclusión concreta de microquimerismo. Ayuda. Me pueden contactar por celular en contacto. Mi esposo y yo somos locales de la ubicación y ambos profesiones. Gracias.","ma fille née il y a 5 jours a été curieusement découverte avec le groupe sanguin C après avoir exclu la plupart des causes pour cela, nous nous retrouvons avec une possible chimère jumelle en voie de disparition et nous ne savons pas vers qui nous tourner pour plus d'informations ou de recherches à ce stade, nous n'avons même pas la confirmation si elle est xxxx ou xxxy ou une exclusion concrète du microchimérisme, aidez-moi, je suis joignable par téléphone portable au contact mon mari et moi sommes locaux à l'endroit et tous deux de profession merci",我的女儿出生在 5 天前，令人奇怪的是，她的血型是 c 型，排除了大多数原因后，我们只剩下一个可能消失的双胞胎嵌合体，不知道去哪里获取更多信息或研究，目前我们甚至无法确认她是 xxxx 还是 xxxy，也无法具体排除微嵌合体，求助，我可以通过手机联系到我的丈夫和我，他们都住在当地，而且都是专业人士，谢谢,"mia figlia nata 5 giorni fa è stata curiosamente trovata con gruppo sanguigno C, dopo aver escluso la maggior parte delle cause, ci ritroviamo con una possibile chimera gemellare in via di estinzione e non sappiamo a chi rivolgerci per maggiori informazioni o ricerche, a questo punto non abbiamo nemmeno la conferma se è xxxx o xxxy o un'esclusione concreta del microchimerismo, aiuto, posso essere contattata tramite cellulare al numero di contatto mio marito e io siamo della zona ed entrambi professionisti, grazie","Bei meiner vor 5 Tagen geborenen Tochter wurde seltsamerweise die Blutgruppe C festgestellt. Nachdem die meisten Ursachen dafür ausgeschlossen wurden, bleibt uns nur noch die mögliche Chimäre eines verschwundenen Zwillings und wir wissen nicht, wohin wir uns für weitere Informationen oder Nachforschungen wenden sollen. Zu diesem Zeitpunkt haben wir noch nicht einmal eine Bestätigung, ob sie xxxx oder xxxy ist, oder einen konkreten Ausschluss von Mikrochimärismus. Hilfe, ich bin per Handy unter Kontakt erreichbar. Mein Mann und ich sind in der Nähe und beide von Beruf. Danke."
225,"Mi edad es de 56 años y sufro de bocio no tóxico en el cuello izquierdo del tamaño de unos 13 cm de 5 años, mi prueba de tiroides de T3T4T5 es la prueba normal de FNAC es normal y no tengo complicaciones en este momento 1 por favor sugiera que deba operar mi La glándula tiroides 2 es el tratamiento de radioyodo mejor que la cirugía para mí gracias nombre","j'ai 56 ans et je souffre d'un goitre non toxique sur le cou gauche d'une taille d'environ 13 cm depuis 5 ans, mes tests thyroïdiens de t3t4t5 sont normaux, le test fnac est normal et je n'ai aucune complication en ce moment 1 s'il vous plaît suggérez-moi si je dois subir une opération de ma glande thyroïde 2 le traitement à l'iode radioactif est-il meilleur que la chirurgie pour moi, merci nom",我今年 56 岁，我患有左颈部无毒性甲状腺肿，大小约为 13 厘米，5 年前我的甲状腺测试 t3t4t5 正常，fnac 测试正常，目前没有并发症 1 请建议我是否应该进行甲状腺手术 2 放射性碘治疗是否比手术更好，谢谢,"ho 56 anni e soffro di gozzo non tossico sul collo sinistro di circa 13 cm da 5 anni, i miei esami della tiroide t3t4t5 sono normali, il test fnac è ​​normale e al momento non ho complicazioni. 1 per favore, suggeriscimi se dovrei sottopormi a un'operazione alla tiroide. 2 il trattamento con iodio radioattivo è migliore dell'intervento chirurgico per me? Grazie. Nome","ich bin 56 Jahre alt und leide seit 5 Jahren an einem nichttoxischen Kropf an der linken Halshälfte mit einem Durchmesser von ca. 13 cm. Meine Schilddrüsenwerte T3, T4 und T5 sind normal. Der FNAC-Test ist normal und ich habe im Moment keine Komplikationen. 1. Bitte geben Sie mir einen Rat, ob ich mich einer Operation an meiner Schilddrüse unterziehen soll. 2. Ist eine Radiojodtherapie für mich besser als eine Operation? Danke, Name"
226,Registrador de eventos cardíacos ¿Existe un registrador de eventos cardíacos que sea intrínsecamente seguro?<PAD><PAD>,enregistreur de boucle d'événements cardiaques existe-t-il un enregistreur de boucle d'événements cardiaques intrinsèquement sûr<PAD><PAD>,心脏事件循环记录器 是否存在本质安全的心脏事件循环记录器<PAD><PAD>,registratore di eventi cardiaci esiste un registratore di eventi cardiaci intrinsecamente sicuro<PAD><PAD>,Herz-Ereignisschleifenrekorder Gibt es einen Herz-Ereignisschleifenrekorder mit Eigensicherheit<PAD><PAD>
227,"Mi madre, de 84 años, a menudo no tiene hambre y le gustaría probar una de esas comidas líquidas, pero su médico le dijo que no tome nada que contenga vitamina K. Miré las etiquetas de todos esos productos y todos tienen vitamina K. ¿Alguna idea de dónde buscar? Muchas gracias.","ma mère de 84 ans n'a souvent pas faim et aimerait essayer un de ces repas liquides, mais son médecin lui a dit de ne rien prendre contenant de la vitamine K. J'ai regardé les étiquettes de tous ces produits et ils contiennent tous de la vitamine K. Des idées sur où chercher, merci beaucoup",我母亲今年 84 岁，经常不饿，想尝试一下这些流质食物，但医生告诉她不要吃任何含有维生素 k 的食物，我看了所有这些产品的标签，它们都含有维生素 k，有没有人知道在哪里可以找到，非常感谢,mia madre di 84 anni spesso non ha fame e vorrebbe provare uno di quei pasti liquidi ma il suo medico le ha detto di non prendere nulla che contenga vitamina K ho guardato le etichette di tutti quei prodotti e tutti contengono vitamina K avete idee su dove cercare grazie mille,"meine 84-jährige Mutter hat oft keinen Hunger und würde gerne eine dieser flüssigen Mahlzeiten probieren, aber ihr Arzt hat ihr gesagt, sie solle nichts mit Vitamin K zu sich nehmen. Ich habe mir die Etiketten auf all diesen Produkten angeschaut und sie alle enthalten Vitamin K. Irgendwelche Ideen, wo ich nachschauen könnte? Vielen Dank."
228,"Pregunta de Clinicaltrialsgov Información general Hola, mi nombre es: tengo 34 años y tengo sida. Ahora todos mis compañeros de trabajo saben mi diagnóstico. ¿Qué debo hacer? ¿Cómo puedo vivir? Además, el gerente de la tienda me dijo que soy un idiota.","Question sur ClinicalTrialsgov Informations générales Bonjour, mon nom est Mane, j'ai 34 ans, j'ai le sida, maintenant tout le monde, mes collègues connaissent mon diagnostic, que dois-je faire, comment puis-je vivre ? Le directeur du magasin m'a dit que j'étais un idiot.",clinicaltrialsgov 问题一般信息你好我的名字是 mane 我今年 34 岁我患有艾滋病现在我的同事都知道我的诊断我该怎么办我的生活也商店经理告诉我我是个混蛋白痴,clinicaltrialsgov domanda informazioni generali ciao il mio mane è il mio nome ho 34 anni ho l'aids beh ora tutti i miei colleghi conoscono la mia diagnosi cosa dovrei fare come posso vivere anche il responsabile del negozio posizione mi ha detto che sono un idiota idiota,"clinicaltrialsgov Frage Allgemeine Informationen Hallo, mein Name ist ich, ich bin 34 Jahre alt, ich habe AIDS, also, jeder meiner Kollegen kennt meine Diagnose, was soll ich tun, wie kann ich leben, auch der Filialleiter hat mir gesagt, ich sei ein Idiot"
229,¿Podrías discutir las razones por las cuales una mujer no tendría los dos ovarios el útero una vez menopáusica o por qué debería,Pourriez-vous discuter des raisons pour lesquelles une femme ne devrait pas subir l'ablation des deux ovaires et de l'utérus une fois ménopausée ou pourquoi elle devrait le faire ?,你能讨论一下为什么女性绝经后不应该切除双侧卵巢和子宫，或者为什么她应该,potresti spiegare i motivi per cui una donna non dovrebbe farsi rimuovere entrambe le ovaie e l'utero una volta in menopausa o perché dovrebbe,"Könnten Sie Gründe erläutern, warum eine Frau nach der Menopause nicht beide Eierstöcke und die Gebärmutter entfernen lassen würde oder warum sie"
230,Nombre enviado la siguiente solicitud en la fecha en que estaban buscando desde el producto NLM Legends locales navegador web Mozilla50 iPad CPU OS 83 Al igual que Mac OS X AppleWebkit60014 Khtml Al igual que Gecko GSA5243972 Mobile12F69 Safari60014 State Mo Country Ninguno de la dirección de correo electrónico especificada Nombre de la dirección del correo Mi hija nació en 1988 con un nombre del tumor de teratoma sacralcoccígeo que hizo una cirugía para eliminar el nombre del tumor que ha crecido y ahora tiene algunos problemas con el tejido cicatricial y los problemas digestivos que nos gustaría saber si podría recomendar un médico para hacer un seguimiento de nam,nom a soumis la demande suivante le date à laquelle ils recherchaient à partir du navigateur Web local des légendes du produit nlm mozilla50 ipad cpu os 83 comme mac os x applewebkit60014 khtml comme gecko gsa5243972 mobile12f69 safari60014 état mo pays aucun spécifié adresse e-mail nom sujet j'ai une question besoin d'une réponse message ma fille est née en 1988 avec une tumeur tératome sacro-coccygienne nom a-t-elle subi une intervention chirurgicale pour retirer la tumeur nom a grandi et a maintenant des problèmes de tissu cicatriciel et de problèmes digestifs nous aimerions savoir si elle pourrait recommander un médecin pour un suivi avec nam,name 提交了以下请求，日期为搜索日期，nlm 产品本地传奇网络浏览器 mozilla50 ipad cpu os 83 类似 mac os x applewebkit60014 khtml 类似 gecko gsa5243972 mobile12f69 safari60014 州 mo 国家 未指定电子邮件地址 name 主题 我有一个问题需要回复消息 我的女儿出生于 1988 年，患有骶尾部畸胎瘤，name 做了手术切除肿瘤，name 已经长大，现在有一些疤痕组织和消化问题，我们想知道她是否可以推荐一位医生来跟进 nam,nome ha inviato la seguente richiesta il data in cui stava cercando da nlm prodotto local legends browser web mozilla50 ipad cpu os 83 come mac os x applewebkit60014 khtml come gecko gsa5243972 mobile12f69 safari60014 stato mo paese nessuno specificato indirizzo email nome oggetto ho una domanda ho bisogno di una risposta messaggio mia figlia è nata nel 1988 con un tumore teratoma sacro-coccigeo nome è stata operata per rimuovere il tumore nome è cresciuta e ora ha alcuni problemi con tessuto cicatriziale e problemi digestivi vorremmo sapere se può consigliare un medico per seguire nam,"Name hat die folgende Anfrage eingereicht am Datum, an dem sie gesucht haben: NLM-Produkt, lokale Legenden, Webbrowser, Mozilla50, iPad-CPU, OS 83, wie Mac OS X, Applewebkit60014, khtml, wie Gecko, gsa5243972, mobile12f69, Safari60014, Staat, MO, Land, keine Angabe, E-Mail-Adresse, Name, Betreff, ich habe eine Frage, brauche eine Antwort, Nachricht, meine Tochter wurde 1988 mit einem sakral-kokzygealen Teratom geboren, Name, sie wurde operiert, um den Tumor zu entfernen, Name, ist erwachsen geworden und hat jetzt einige Probleme mit Narbengewebe und Verdauungsproblemen, wir würden gerne wissen, ob sie einen Arzt empfehlen könnte, der sich um Nam kümmert"
231,Estaba limpiando mi oído con un metal puntiagudo y por error se metió en mi oído y comencé a ver algo de sangre saliendo de mi oído. Desde entonces he estado sintiendo algunos dolores en mi oído y ¿puedo estar escuchando un eco en mi oído? Me alegraría mucho saber cuál es el mejor medicamento para el tratamiento de mi oído.,"je nettoyais mon oreille avec un métal pointu et par erreur, il est entré dans mon oreille et j'ai commencé à voir du sang sortir de mon oreille. Depuis, j'ai des douleurs dans mon oreille et je peux entendre un écho dans mon oreille. Je serais très heureux de connaître le meilleur médicament pour mon traitement de l'oreille.",我用尖锐的金属清洁耳朵，不小心把血弄进了耳朵，然后我开始看到耳朵里流出一些血，从那时起，我的耳朵就有些疼痛，我还能听到耳朵里的回声，我很高兴知道治疗我耳朵的最佳药物,mi stavo pulendo l'orecchio con un oggetto appuntito e per sbaglio è entrato nell'orecchio e ho iniziato a vedere del sangue dall'orecchio da allora ho avuto dei dolori all'orecchio e potrei sentire un eco nell'orecchio sarei molto felice di sapere qual è il miglior farmaco per il trattamento delle mie orecchie,"Ich habe mein Ohr mit einem spitzen Metall gereinigt und dabei ist versehentlich etwas in mein Ohr gelangt und ich habe angefangen, etwas Blut aus meinem Ohr zu sehen. Seitdem habe ich Schmerzen im Ohr und kann ein Echo in meinem Ohr hören. Ich würde mich sehr freuen, das beste Medikament für meine Ohrenbehandlung zu erfahren."
232,"Después de llamar a Teva Pharmaceuticals, me dijeron que la información de estabilidad y almacenamiento impresa en sus paquetes de solución para inhalación de levalbuterol de 125 mg3 ml y 0,63 mg3 ml, así como en sus paquetes de suspensión para inhalación de budesonida de 0,5 mg2 ml y 0,25 mg2 ml es información extraída directamente de DailyMed, por lo que no tengo información. Estoy tratando de determinar si existe alguna información de estabilidad extendida para cualquiera de los productos, ya que los nebulizadores no están empaquetados individualmente y, por lo tanto, se desperdicia una cantidad significativa de producto en nuestras instalaciones debido a la información proporcionada cuando la marca Xopenex todavía estaba disponible.","après avoir appelé Teva Pharmaceuticals, ils ont relayé que les informations de stabilité et de stockage imprimées sur leurs emballages de solution pour inhalation de lévalbutérol 125 mg3 ml et 063 mg3 ml ainsi que sur leurs emballages de suspension pour inhalation de budésonide 05 mg2 ml et 025 mg2 ml sont des informations directement tirées de DailyMed, d'où le fait que je suis en train d'essayer de déterminer s'il existe des informations de stabilité étendues pour l'un ou l'autre produit, car les nebs ne sont pas emballés individuellement et, par conséquent, une quantité importante de produit est gaspillée dans notre établissement en raison des informations fournies lorsque la marque Xopenex était encore disponible en septembre",在致电梯瓦制药公司后，他们转达说，他们的左旋沙丁胺醇 125 mg3 ml 和 063 mg3 ml 吸入溶液以及布地奈德 05 mg2 ml 和 025 mg2 ml 吸入混悬液包装上印刷的稳定性和储存信息是直接从 dailymed 中提取的信息，因此，我试图确定这两种产品是否有任何扩展的稳定性信息，因为这些喷雾剂不是单独包装的，因此，由于在名牌 xopenex 仍可用时提供的信息，我们的工厂浪费了大量产品。,"dopo aver chiamato la Teva Pharmaceuticals, mi hanno riferito che le informazioni sulla stabilità e la conservazione stampate sulle loro soluzioni per inalazione di levalbuterolo da 125 mg3 ml e 063 mg3 ml, nonché sulle confezioni di sospensione per inalazione di budesonide da 05 mg2 ml e 025 mg2 ml, sono informazioni tratte direttamente da DailyMed, quindi NIH. Sto cercando di determinare se ci sono informazioni sulla stabilità estesa per entrambi i prodotti, poiché le nebulizzazioni non sono confezionate singolarmente e pertanto una quantità significativa di prodotto viene sprecata nella nostra struttura a causa delle informazioni fornite quando il marchio Xopenex era ancora disponibile a settembre.","Nachdem ich bei Teva Pharmaceuticals angerufen hatte, teilten sie mir mit, dass die auf den Packungen ihrer Levalbuterol-Inhalationslösung 125 mg/3 ml und 063 mg/3 ml sowie ihrer Budesonid-Inhalationssuspension 05 mg/2 ml und 025 mg/2 ml aufgedruckten Stabilitäts- und Lagerungsinformationen direkt von DailyMed stammen. Daher versuche ich herauszufinden, ob es für eines der Produkte erweiterte Stabilitätsinformationen gibt, da die Nebs nicht einzeln verpackt sind und daher aufgrund der Informationen, die bereitgestellt wurden, als das Markenprodukt Xopenex noch erhältlich war, eine erhebliche Menge des Produkts in unserer Einrichtung verschwendet wird."
233,Fui abusado por mi padre cuando era un niño hace más de 45 años. He estado trabajando en la recuperación los últimos años. Los recuerdos surgieron en 2010 como parte de mi recuperación. Estoy explorando cómo ser sodomizado por mi padre puede haber dañado mi recto y áreas circundantes. ¿Qué tipo de daño físico habría causado un hombre de 22 años sodomizando a un niño de 5 años? Estoy buscando ver si eso causó desgarros en el recto que habrían llevado a tener que tener 9 cirugías como adulto para repararlos. No creo que simplemente sucedieran. Gracias de antemano.,"j'ai été agressé sexuellement par mon père quand j'étais enfant il y a plus de 45 ans. J'ai travaillé sur la guérison ces deux dernières années. Les souvenirs ont fait surface en 2010. Dans le cadre de ma guérison, j'explore comment le fait d'avoir été sodomisé par mon père a pu endommager mon rectum et les zones environnantes. Quels types de dommages physiques auraient été causés par un homme de 22 ans sodomisant un garçon de 5 ans. Je cherche à voir si cela a provoqué des déchirures dans le rectum qui auraient conduit à devoir subir 9 interventions chirurgicales à l'âge adulte pour les réparer. Je ne pense pas qu'elles se soient simplement produites. Merci d'avance.",45 年前，当我还是个孩子的时候，我被我父亲性侵了。过去几年我一直在努力恢复。2010 年，作为恢复过程的一部分，记忆浮现出来。我正在探索被我父亲鸡奸可能如何损害我的直肠和周围区域。如果一个 22 岁的男性鸡奸一个 5 岁的男孩，会造成什么样的身体伤害？我想知道这是否会导致直肠撕裂，从而导致我成年后必须进行 9 次手术来修复它们。我不认为这些事情会自然发生。提前致谢,"sono stato molestato da mio padre quando ero bambino, più di 45 anni fa. Ho lavorato sulla ripresa negli ultimi due anni. I ricordi sono riemersi nel 2010 come parte della mia ripresa. Sto esplorando come essere sodomizzato da mio padre possa aver danneggiato il mio retto e le aree circostanti. Che tipo di danno fisico avrebbe potuto causare un maschio di 22 anni che sodomizzasse un bambino di 5 anni. Sto cercando di vedere se ciò ha causato delle lacerazioni nel retto che avrebbero portato a dover subire 9 interventi chirurgici da adulto per ripararle. Non credo che siano accadute per caso. Grazie in anticipo.","ich wurde als Kind vor über 45 Jahren von meinem Vater missbraucht. Ich arbeite seit einigen Jahren an meiner Genesung. Die Erinnerungen sind 2010 wieder hochgekommen. Als Teil meiner Genesung untersuche ich, wie die Analverkehr-Vergewaltigung durch meinen Vater meinen Enddarm und die umliegenden Bereiche geschädigt haben könnte. Welche Art von körperlichen Schäden hätte es verursacht, wenn ein 22-jähriger Mann einen 5-jährigen Jungen anal missbraucht? Ich möchte herausfinden, ob dies zu Rissen im Enddarm geführt hat, die dazu geführt hätten, dass ich mich als Erwachsener 9 Operationen hätte unterziehen müssen, um diese zu reparieren. Ich glaube nicht, dass sie einfach so passiert sind. Vielen Dank im Voraus."
