,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
233,i was molested by my father when i was a child,My brother is being tested for factor five because his daughter was,nan,nan,nan,nan
234,i have had two groing area hernias 1m,"Father-in-law 84, now in hospice,",nan,nan,nan,nan
235,i have rheumatoid arthritisvasculitisfib,I have been battling anal fissures for almost two years,nan,nan,nan,nan
236,i am a type one diabetic ive recently heard about the,I recently heard about pancreatic implants. I just wanted to,I am a type 1 diabetic and I have recently heard about,"i recently heard about pancreatic implants, i just wanted to",nan,I am a type 1 diabetic and recently heard about pancre
237,There is a problem on my penis gland due to using lid,I have a problem with my penis gland because I use a,I have a problem with my penis gland due to excessive use,There is a problem on my penile gland due to excessive,nan,My penis gland is peeling every 3 or 4 days for
238,i wish to enquire about what other noninvasive alternatives,The patient has a family history of cancer and is afraid of,The patient has a family history of cancer and is afraid of,The patient has a family history of cancer and is afraid of,"The patient has a family history of cancer, is afraid of",The patient has a family history of cancer and is afraid of
239,If hearing loss is due to alports disease is the hearing,"If hearing loss is due to Alport disease, the hearing",If hearing loss is due to Alports disease the hearing loss,nan,Is the degree of hearing loss the same in both ears?,"If hearing loss is due to Alport disease, is the"
240,i have been on metformin hcl 500mg twice,Metformin HCL 500mg twice a day for two,i have been taking metformin hcl 500mg twice,"The pill is white, flat, and oval and has the",Metformin hydrochloride 500mg twice a day for,I was diagnosed via a blood sugar result of 495 and
241,There is much talk in the media about c perfringens,C. perfringens type B is a trigger for multiple,Bacterium C perfringens type B is a trigger,C perfringens type b is a trigger for multiple sclerosis,I would like to buy this product bac Echinacea,nan
242,i have a gland on the bottom left side of my jaw,The only way to relieve it is to squeeze it with my,i have a gland in the lower left side of my jaw,The only way to relieve it is to push it with my,"""I have a gland on the left side of my jaw",I have a gland on the lower left side of my jaw
243,Only me my mum and my sister and 1 other person have,"Only me, my mother, my sister and one other person",Only me my mom my sister and one other person were found,"Only me, my mother, my sister and one other person","Only me, my mum, my sister and 1 other person","Only my mother, sister and one other person have this genetic"
244,Bruxism may be a result of tension or anxiety,Bruxism can be a result of tension or anxiety,Bruxism can be the result of tension or anxiety,Bruxism can be the result of tension or anxiety,Bruxism can be a result of tension or anxiety,nan
245,If some one are positive herpes simplex gentle whether they can,"As I get older, I am now 82 and although I",nan,nan,nan,nan
246,My boyfriend had surgery on his rectum because it came out,My boyfriend had surgery on his rectum because it fell out,My boyfriend had rectal surgery because it came out a few,My boyfriend had rectal surgery because it came out of him,My boyfriend had rectal surgery because of a dislocated anus,My boyfriend had rectal surgery because it came out a few
247, dear sirmadam i am looking for list of approved,What happens if I breathe in according to the instructions and I,nan,nan,nan,nan
248,If a patients red blood cell count becomes low because of a,random mutations can change human DNA. can the environment change DNA,nan,nan,nan,nan
249,Are there any risks for an elderly person to fly with a,Are there any risks for an elderly person to fly with a,nan,nan,nan,Is there any risk that an older person will fly with a
250,My daughter has been diagnosed with cf and this is one of,i have had shingles since i was 7 years old,nan,nan,nan,nan
251,If someone used to use drugs mainly heroin and theyve stopped,CNN.com asked a drug addict if they would test negative,"I thought I'd test if someone was using drugs, mostly",If someone has been clean for 30 days and their liver is,"If someone used to use drugs, mainly heroin, and now",CNN's John Sutter asks if someone who has stopped using
252, nutritionist warned me i could develop a shellfish allergy if,My nutritionist warned me that I could develop a shellfish,My nutritionist warned me that I could develop a shellfish,My nutritionist warned me that I could develop a shellfish,My dietitian warned me that I may be allergic to,nan
253,My 5 yr old grandson has tourettes his dad my,"My 5 year old grandson has Tourette's, his father",nan,My 5-year-old grandson has tourette syndrome.,My 5-year-old grandson has Tourette's syndrome,My 5-year-old grandson has Tourette's.
254, clinicaltrialsgov question general information is there any information out,There is not much information on the combination of these two diseases,nan,"My husband has both diseases, but I don't have much",My husband has both Charcot-Marieto disease and,There is not too much information available on these two diseases together
255, is this common after surgery what is the cause. is this," does this often occur after an operation, what is the cause","It is common after surgery, what is the cause. It"," is this common after surgery, what causes it?",nan,nan
256,There is no known way to prevent pseudogout. Treat,I see the statement that there is no known way to prevent,Treating other problems that can cause pseudogout can make,Treating other problems that can cause pseudogout can make,I have seen statements saying there is no known way to prevent,nan
257,My daughter has ip and was diagonsed when she was,My daughter has IP and was diagnosed at birth 27 years ago,My daughter has ip and was diagnosed when she was born 27,My daughter has IP and was diagnosed at birth 27 years ago,My daughter has ip and was diagnosed at birth 27 years ago,My daughter has IP and was diagonised when she was
258,"""My blood pressure comes up at night when i am asleep","""My blood pressure goes up at night when I'm sleeping","""My blood pressure goes up at night when I sleep I","""My blood pressure goes up at night when i sleep i","""My blood pressure goes up when I go to sleep at","""I have asked doctors why this happens and no one knows"
259,i am looking for a companyresearch facility that can do genetic,I am looking for a company or research facility that can perform,I am looking for a company or research center that can perform,i am looking for a company or research center that can perform,I am looking for a company research institute that can do genetic,I am looking for a company or research center that can perform
260, heritary angioedema injecting white bloods cells into,I am 64 years old and have type II diabetes. I,nan,nan,nan,nan
261,A friend of mine has developed a foam in her mouth that,A friend of mine has been suffering from foam in her mouth,A friend went through chemo for breast cancer and developed foam,A friend of mine has been having chemotherapy for breast cancer.,A friend who had chemotherapy for breast cancer has developed foam in,A friend of mine had chemotherapy for breast cancer and developed foam
262,i had my house sprayed to eradicate crickets and spiders.,I had my house sprayed to eradicate crickets and spiders.,"""I had my house sprayed to eradicate crickets and spiders",I had my house sprayed to get rid of crickets and,I sprayed my home with insecticide to get rid of cr,"""They sprayed my house to eradicate crickets and spiders"""
263,My uncle has a heart problem due to a gastro problem and,My uncle has a heart problem due to gastrointestinal problem and intestinal,My uncle has a heart problem due to a gastrointestinal problem and,My uncle has a heart problem due to gastrointestinal problem and intestinal,"""I call your name, I have a question for you",Dear Sir I need your help I am a name I have
264,Her family has something called pheochromocytoma,Her family has something called pheochromocytoma,nan,Her family has something called pheochromocytoma,nan,Vitro may help a woman whose family has a rare
265,Cyclist had surgery on muscles of two eyes as a,Cyclist had surgery on muscles of both eyes as a,i had surgery on both eye muscles after a bike accident in,I had muscle surgery on both eyes following a bike accident in,"""I had surgery on the muscles of both eyes due to",I had surgery on both eye muscles as a result of a
266,"""I got a little light headed and just laid down and","What if someone just vomits a little bit of blood,",nan,nan,"What should I do if someone throws up blood, feels dizz",nan
267,i have been dealing with an autoimmune disease for almost 4 years,I have been suffering from an autoimmune disease for almost 4 years,I have been dealing with an autoimmune disease for almost 4 years,I have been suffering from an autoimmune disease for almost 4 years,I have been struggling with an autoimmune disease for almost 4 years,I have been dealing with an autoimmune disease for almost 4 years
268,i just want to know that is muscular dystrophy belongs,Loss of taste and smell due to surgery that injured the,nan,nan,nan,nan
269,Its normal to expect mallot fingers to heal bent at location,It is normal for Mallot fingers to heal at the Canada,It is normal to expect Mallot fingers to heal bent in,It is normal to expect Mallot's fingers to heal bent,nan,It is normal to expect Mallot's fingers to heal bent
270,6 months old boy diagnosed with cerebral palsy hypotoniah,6 month old boy diagnosed with hypotonic cerebral palsy associated,A mother of a 6 month old baby has been diagnosed with,"6 month old boy diagnosed with cerebral palsy, hypotonic","6-month-old has cerebral palsy, hypotonia",6-month-old diagnosed with Hypotonic Hypot
271,i used to eat shrimp all the time but suddenly developed an,"I used to eat shrimp all the time, but suddenly I",i used to eat shrimp all the time but suddenly i developed,I used to eat shrimp all the time but suddenly developed an,I used to eat shrimp regularly but suddenly developed an allergy to,I used to eat shrimp all the time but suddenly developed an
272,My blood pressure runs 9159 hr65 most of the time,"My blood pressure runs 9159 hrs 65, lower in the",My blood pressure is 9159 hr65 most of the time,My blood pressure runs 9159 hr 65 mostly lower in the,On blood pressure medication atenolol 50mg blood pressure,nan
273,Four years back my ankle had hit by the stone and there,"My wife has developed a very strong, deep, hoarse",nan,nan,nan,nan
274,i have a rare genetic disease called pallido ponto nig,Name is trying to write a book about a girl with E,nan,nan,nan,nan
275,If a 60 yo male patient has a level of cobalt,If a 60-year-old male patient has a cob,If a 60 year old male patient has a cobalt or,If a 60 year old male patient has a cobalt or,Could cobalt or chromium levels above the maximum acceptable level,If a 60-year-old male patient has a cob
276,i am a pharmacy technician and i work at an inpatient,I am a pharmaceutical technician and work in a stationary pharmacy.,A pharmacy technician explains why azitomycin is kept in,Some technicians put the reconstituted suspension in our refrigerator,I am a pharmacist working in an inpatient pharmacy.,Some technicians have been placing the reconstituted suspension in
277,Is there a reason that the lovenox has to be,"I am a 68 year old young man, 57 tall.",nan,nan,nan,nan
278,When i was three years old i suffered from mildmoderate lead,Name wants to know if he'll ever be able to do,nan,nan,nan,nan
279,i am writing on behalf of my friend that is reading us,Name is affected by HCV genotype IIIA and has,I am writing on behalf of my friend who is reading us,i am writing on behalf of my friend who is reading us,I am writing on behalf of my friend who is reading our,I am writing on behalf of my friend who is reading us
280, epididymis why does it hurt when if i dont,"Epididymis: ""My testicles hurt sometimes",nan,nan,"""My epididymis hurt when I don't finish",nan
281,My dad had some skin cancer removed 3 wks ago and,My father had skin cancer removed and a skin graft done 3,My dad had a skin tumor removed 3 weeks ago and had,My father had skin cancer removed 3 weeks ago and a skin,My dad had a skin cancer removed 3 weeks ago and a,My dad had a skin cancer removed 3 weeks ago and had
282,Certain pressures applied to body leaves long lasting dark spots. what,Certain pressures exerted on the body leave long-lasting dark spots,What causes the above pressures applied to the body that leave long,What causes certain pressures applied to the body to leave dark spots,nan,What causes certain pressures applied to the body to leave lasting dark
283,i have a knot about the size of a bb in,I am a double PEG-interferon non-,nan,nan,nan,nan
284,My son has frontometaphyseal dysplasia,My son has frontometaphyseal dysplasia,My son has frontometaphyseal dysplasia,My son has frontometaphyseal dysplasia,nan,My son has frontometaphyseal dysplasia
285,Extreme blood sugar levels would make the tremors a great deal,Extreme blood sugar levels significantly worsen tremors and make them seem,nan,I am wondering if there is a correlation between blood sugar levels,I am wondering if there is a correlation between blood sugar levels,nan
286,i would like to know if the legs shortening can be,I would like to know if leg shortening can also be,Shortening the legs can also be done for a normal person,I would like to know if leg shortening can also be,I want to know if ordinary people can also do leg short,I would like to know if leg shortening can also be
287,i am 54 years young and i suffer from chronic osteo,I am 54 years young and suffer from chronic osteoarth,My femur broke two weeks after i had total left,"As of January 1st, I had a total left hip","""I am 54 years old and have chronic osteoarth","On the date I had a total left hip replacement surgery,"
288,i have had shingles for over 10 years and have,I have had shingles for over 10 years and work,Shingles is painful especially in my house and in some,Shingles is painful even with lidocaine and ly,Shingles sufferer asks if there is a connection between,Shingles can be caused by certain detergents.
289,i have tarlov cyst disease but most 11 are,i have fibromyalgia and cfs but indecision not,Most of the 11 are in the thoracic part of,Most of the 11 are in the thoracic region of,Most of the 11 cysts are in the thoracic,Most of the 11 are in my thoracic spine.
290,i have painful sores around my genitals. i have painful,Broncomar Maximum Dextromethorphan Hydrob,nan,nan,nan,nan
291,Can arteries in any part of the body spasm or is,I would like to know if it is possible to find out,nan,nan,nan,nan
292,My father age 60 have experienced a loss of speaking volume loss,My father has been experiencing a loss of speech volume and sound,nan,My father is 60 years old and has suffered a loss of,nan,"My father, 60, has been experiencing loss of volume to"
293,My teeth have decayed severely in the past 2 years.,I have cystic fibrosis and MRSA in my lungs,nan,nan,nan,nan
294,i have been dealing with undiagnosed issues it started,The doctors decided to remove my gallbladder even though it,"i have been dealing with undiagnosed issues, it",I had undiagnosed issues 3 years ago like nausea,"""I have been dealing with undiagnosed issues,",The doctors decided to remove my gallbladder even though I
295,My husband was diagnosed with rocky mountain spotted fever about 6 12,My husband was diagnosed with Rocky Mountain Spotted Fever about 6,My husband was diagnosed with Rocky Mountain Spotted Fever about 6,My husband was diagnosed with Rocky Mountain Spotted Fever about 6,My husband was diagnosed with Rocky Mountain Spotted Fever about 6,My husband was diagnosed with Rocky Mountain spotted fever about 6-
296, epidermal growth factor to use topically in skin care,I'm looking to buy epidermal growth factor to use,I would like to purchase an epidermal growth factor to,I am looking to purchase epidermal growth factor to use,I would like to buy epidermal growth factor for topical,I am looking to purchase epidermal growth factor to use
297,Is there a definitive history of diphtheria in the,I have been taking Mylan Indapamide 125mg for,nan,nan,nan,nan
298,i have had three neck surgeries and now my left hand no,i have garlic cysts but most of them are in the,nan,nan,nan,nan
299,i suspect my son has cushings syndrome his recent ucreat,My father is 61 years old and suffering from pancreatic cancer,nan,nan,nan,nan
300, patient 65 yearwithout any other disorder has now diagnose solid ad,"""I am a 24 year old boy with Friedreich",nan,nan,nan,nan
301,I have started swelling for about a week now its my whole,"At the age of 50, I have been having swelling all",nan,At age 50 i started swelling for about a week now.,nan,At the age of 50 i started getting swollen for about a
302,i now use estradiolclimaratd patch 1,i am now using the estradiolclimaratd,I am now using the estradiolclimaratd,nan,nan,nan
303,My 9 month old has a fever of 1035. What,My 9 month old daughter has a fever of 104 degrees.,nan,My 9 month old baby has a fever of 1035.,My 9 month old has a fever of 1035. What,My 9 month old has a fever of 1035. What
304, excess hairs on legs are appeared since last year after heavy itching,Hair growth on legs occurs after I took oral contraceptives only, excess hair on legs appeared since last year after severe itching on, excess hair on legs appeared since last year after severe itching on,I started to have hair growth on my legs after taking oral,nan
305,Wet and dry beriberi usually occur in the same,"When she was 8 months old, she started having recurrent fractures",nan,nan,nan,nan
306,"""I am male of 39 years and facing problem of sexual",3 months ago I was diagnosed with vitamin B12 deficiency.,nan,nan,nan,nan
307,i have hepatic liver disease i am a white mail 55,"i have liver disease, i am a white male, 55","""I went from a 140 pound walking skeleton to 177 pounds",i have liver disease i am a 55 year old white mail,Liver disease hit me fast and hard and it has not,Liver liver disease hit me Lack and hard not having a
308,i am allergic to steroids need to know way to flush system,I am allergic to steroids need to know how to flush system,I am allergic to steroids. I need to know how to,"i was giving pudding loaded with steroids, i am allergic to","""I am giving pudding steroids, I am allergic to steroids","""I was giving steroid loaded pudding, I am allergic to"
309,Yesterday i noticed a large cluster of pinprick red spots,I noticed a large cluster of pinhead sized red spots under,"i noticed a large cluster of red dots under my chin,",i noticed a large cluster of red pinprick shaped dots,I noticed a large cluster of red pinprick spots under,I noticed a large cluster of red pin-prick spots
310,The pain comes from right ear to right arm fingers and she,My younger sister has been suffering from severe pain in her right,My younger sister is suffering from severe pain in her right shoulder,My little sister is suffering from severe pain in her right shoulder,My sister has been suffering from pain in her right shoulder for,nan
311,i was affected on trichoepithilioma in my,I was affected by Trichoepithilioma in the,I was affected by trichoepithelioma on,I was affected by trichoepithilioma in my,I suffered from nose trichoepithelioma 12,I had a trichoepithilioma on my nose
312,i have had tourette syndrome since age seven recently at the,"At age 72, I had a shunt implanted for hydro",Tourette's may be a cause of hydrocephalus,"Tourette's syndrome can cause hydrocephalus, says",Tourette's sufferer has hydrocephalus shunt,Tourette syndrome can be a cause of hydrocephalus
313,i have searched your pages and website for information on this medical,I am pretty sure my father had it in his legs and,nan,nan,"I'm pretty sure my father had it in his legs,",nan
314,i believe humalog remains active for about 4 hours after injection,Humalog stays active for about 4 hours. Is this appropriate,Are there any guidelines to say how fast humalog becomes active,nan,Are there any guidelines on how quickly humalog works after injection,Humalog remains active for about 4 hours. Is this reasonable
315,i test before going to bed and the reading is 94 but, hydrochlorothiazide is taken at the same time as,nan,nan,nan,nan
316,i have just finished my third session of prgf treat,"I am a 65 year old man who is very active,","I am a 65 year old male who is very active,","I am a 65 year old male who is very active,","Do I recommend taking glucosamine at the same time,","I am a 65 year old male who is very active,"
317,My urea is showing 40is it dangerous if it is,"My urea level is 40, is that dangerous, what",My urea shows 40 is it dangerous if it is dangerous,"My urea is 40, is it dangerous? If it",My urea shows 40 is it dangerous if it is dangerous,"My urea shows 40, is it dangerous? If it"
318,Last night my vaginal area was itching but i didnt think to,I don't know if it is vaginal yeast infection or not,"I don't see any discharge from my vaginal area, I",i don't see any discharge coming from the vaginal area.,Last night my vaginal area was itchy but I didn't,I don't know if it's a vaginal yeast infection or
319,My brother has denture the lower denture hurts his gum,"My brother has a denture, the lower denture hurts","My brother has dentures, his lower denture hurts his","My brother has dentures, the bottom dentures hurt his",My brother wears dentures and the lower denture hurt his,My brother has dentures his bottom dentures hurt him chewing
320,i have been taking nifedipine for about 5,I have been taking nifedipine for about 5,I take nifedipine to treat Raynaud,I have been taking nifedipine for about 5,I have been taking Nifedipine for about 5,Nifedipine is used to treat Raynaud
321,My daughters pediatrician prescribed 14 of a 250mg tablet once,My daughter's pediatrician prescribed 14 tablets of 250 mg once,My daughter's pediatrician prescribed 14 x 250mg tablets once,My daughter's pediatrician prescribed 14 250 mg tablets once a,My daughter's pediatrician prescribed me 14 250 mg tablets per,My daughter's pediatrician prescribed her 14 of a 250mg
322,i weekly apply the clonidine transdermal patch medically,"i use the transdermal clonidine patch weekly,",I apply the clonidine transdermal patch weekly for,nan,I use the clonidine transdermal patch weekly and,I apply the medical clonidine transdermal patch weekly
323,Wouldnt it be possible to get postpolio syndrome today,Would it not be possible to get post-polio syndrome,"If it were possible to get polio and have no symptoms,","If it was possible to get polio and not have symptoms,",Is it possible to get post-polio today? How,nan
324,i am wondering how does downs sydrome affect the daily,Questions about the effect of Lleucine on cancer treatment,nan,nan,nan,nan
325,Doctors have given up trying to find the cause of his pain,With cardiomegaly chest pain the heart muscle will,With cardiomegaly chest pain the heart muscle will,Most doctors have given up on finding the cause of his pain,nan,"With cardiomegaly chest pain, the heart muscle"
326,Pramipexole made by your company has a something,i need to know if the pramipexole made,I need to know if the pramipexole produced,I need to know if the pramipexole made,I need to know if the pramipexole your,I need to know if the pramipexole made
327,My health care provider has done nothing for but give me shots,"I have very large breasts, I am only 25 and they",nan,nan,nan,nan
328,My brother is getting tested for factor five because his daughter was,My brother is being tested for factor five because his daughter was,My brother is getting tested for factor five because his daughter was,My brother is tested for factor five because his daughter was tested,My brother is being tested for factor five because his daughter was,My brother is getting tested for factor five because his daughter was
329,. fatherinlaw 84now in hospice is sweating,"Father-in-law 84, now in hospice,",Father-in-law 84 now in hospice is sweating,"84-year-old father-in-law, currently",Father-in-law 84 is now in hospice and,Father-in-law 84 now on palliative care
330,i have been battling anal fissure for close to two,I have been battling anal fissures for almost two years,I have been struggling with anal fissure for almost two,I have been battling an anal fissure for almost two,I have been struggling with anal fissure for nearly two,nan
331,In 1964 i began taking bendectin for morning sickness.,I began taking Bendectin for morning sickness in 1964 and,In 1964 i started taking bendectin for morning sickness.,In 1964 i started taking bendectin for morning sickness.,nan,nan
332,i m 33 year old i m having hand and leg trem,I am 33 years old and have been having hand and leg,I am 33 years old and have been having tremors in,I have had tremors in my hands and legs for some,I am 33 years old and I have constant tremors in,I am 33 years old and have been having tremors in
333,i am looking for a resource that describes nutrient vitamin depletion that,I was prescribed this medication for rhinitis I took it,nan,nan,nan,nan
334,My father is suffering from ibs and is loosing weight,My son was diagnosed with Wang syndrome earlier this year. I,nan,nan,nan,nan
335,i live in location tennessee and am interested in being,I live in Tennessee and want to get tested to see if,nan,nan,Can you tell me how and where I can get this test,Cetp gene test. Cetp hyperalphal
336,Can the chunt be done from the vertebra instead of,My child needed a chunt due to high fluid pressure in,My son needed a chunt due to high fluid pressure in,Can the chunt be done from the vertebra instead of,nan,My son needed a chunt due to high fluid pressure in
337,i have very bad diarrhea for last two months doctors have not,"""I have had very bad diarrhea for two months. The",nan,nan,"""I have had severe diarrhea for the past two months and",nan
338,"""I lost my hymen and bleed now my marriage is",I lost my hymen and I am bleeding. Now my,If a woman does not bleed on the first night of marriage,I am from the place where I lost my hymen and,i am from a place where my hymen fell off and,I am from a place where I lost my hymen and
339,i have a faculty member looking for some very specific information.,I have a faculty member who is looking for very specific information,I have a faculty member who is looking for very specific information,I have a faculty member who is looking for very specific information,There is a faculty member who is looking for some very specific,I have a faculty member looking for very specific information and had
340,i have 7 sibling one die 3 with beta thalasse,I don't know if my mother and father are normal or,I don't know if my mother and father are normal or,I don't know if my mother and father are normal or,"""I don't know if my mother and father are normal",I don't know if my mother and father are normal or
341,Are there patient handouts we can order on the topic of,A member of my family has swallowed a poison called caust,nan,nan,nan,nan
342,i am trying to find a physician or specialist in the south,My husband and I had scabies. I used it on,nan,nan,nan,nan
343,16-year-old boy has a bent penis.,16-year-old has questions about Peyronie,16-year-old boy has questions about peyron,16-year-old has questions about peyronie,16-year-old has questions about Peyronie,nan
344,i would like information on timing and exercises that counter sarcopen,"As I get older, I am now 82 and although I",I am now 82 and even though I swim every day and,I am now 82 years old and even though I swim daily,"As I age, I still find myself losing strength and getting",I would like information on timing and exercises that would counteract sarc
345,Gud day please ham having staphylococcus and,"""I have NF1 and the benign tumors in my back",nan,nan,nan,nan
346,"""Can you please tell me if your azithromycin","Azithromycin 250mg tablets are gluten free, thanks","Hi, can you tell me if your azithromycin","""Can you please tell me if your azithromycin","Hi, could you tell me if your azithromycin","Hi, could you please tell me if your azithromy"
347,What if i breathe in according to directions and there is a,What happens if I breathe in according to the instructions and I,I just read the instructions for using a spacer with my,I just read the instructions for using a spacer with my,If I inhale as directed and then the warning whistle or,What happens if I breathe according to the instructions and there is
348,random mutations can change human dna can environment change dna,random mutations can change human DNA. can the environment change DNA,random mutations can change human dna the environment can change d,nan, random mutations can change human dna and that the environment can,I know or think I know that random mutations can change human
349,i just received the results from my recent blood test results which, is this generic for Nexium made gluten free I am cel,nan,nan,nan,nan
350, hantavirus virus if the urine and feces are old,Hantavirus virus if the urine and feces are old,nan, hantavirus virus if urine and feces are old feces,Hantavirus virus can still be spread through old feces,Can the virus be transmitted from old feces and perhaps dried urine
351,Is it possible that it made my face break out. if,"""I suffered a severe stroke today that left me paralyzed on",nan,nan,nan,nan
352,i have had shingles since i was just 7year,i have had shingles since i was 7 years old,I am 48 years old and have had shingles since,"I am 48 years old, I have had shingles",I am 48 and have had shingles since I was,I have had shingles since I was only 7 years
353,If a person is not got any seizure attack for five years,If a person has not had a seizure for five years since,nan,If a person has not had an epileptic seizure for five,nan,If a person does not suffer from any seizure for five years
354,Can i go in tub pool or shower while wearing the lid,"Can I take a bath, swim or shower with the lid","Can I go in the tub, pool, or shower while","Can i go in the bathtub, pool or shower while",nan,Can I go swimming or shower while wearing the lidocaine
355,i have been taking tamoxifen for a little over,I have been taking Tamoxifen for a little over,I have been taking tamoxifen for just over 4,I have been taking tamoxifen for a little over,I have been taking Tamoxifen for over 4 years,I have been taking tamoxifen for a little over
356,10-year-old boy diagnosed with periventricular,10-year-old boy diagnosed with periventricular,10-year-old diagnosed with periventricular heter,10-year-old boy diagnosed with periventricular,I have a 10 year old son who has been diagnosed with,I have a 10-year-old son who was diagnosed
357,Cant find doctor hellolooking at your site.,Can't find a doctor for tricho-rhinoph,nan,I can't find a doctor for tricho-rhino,nan,nan
358,i purchased ph test strips and after receiving them i saw that,I suffered from shingles for many years and can now,nan,nan,nan,nan
359,Can older infants get jaundice what is the age range,Can older infants get jaundice? In what age range,Can older children get jaundice? What is the age,nan,nan,nan
360, chromosome 3 chromosome 3 found in the bloods between the father,Chromosome 3 was found in the blood of both, chromosome 3 chromosome 3 found in blood between father and son., chromosome 3 chromosome 3 found in blood between father and son.,Chromosome 3 was found in the blood of the, chromosome 3 chromosome 3 found in blood between father and son.
361,i started taking thismedication 32714 two tablets by mouth,I started taking this medication 32714 orally twice a day.,i started taking this medicine 32714 two tablets orally twice a,I started taking this medicine 32714 two tablets orally twice a,"I started taking this medication 32714, two tablets twice a","I started taking this medicine 32714, two tablets orally twice"
362,Is it possible to take out whatever causes this disease out of,Is it possible to remove the cause of this disease from a,Is it possible to eliminate any cause of this disease from a,Is it possible to remove what causes this disease from one person,Is it possible to remove any factors that cause this disease from,Is it possible to remove what causes this disease from a person
363,i am 64 yrs old and a type ii diabetic i,I am 64 years old and have type II diabetes. I,i'm 64 and a type 2 diabetic i walk a lot,I am 64 years old and a type II diabetic. I,64-year-old has type II diabetes and walks regularly,I am 64 years old and a type II diabetic. I
364,i got skin cancer and i want this treatment but rb,I am intolerant to all sugar alcohols like maltil,nan,nan,nan,nan
365,A 27-year-old man was born with a problem,Name from Germany has Görlin-Goltz syndrome,nan,nan,nan,nan
366,48-year-old was affected by a bladder cancer where,"""I was already thinking about suicide until the hope of a",48-year-old man was struck by bladder cancer.,48-year-old man was touched by a bladder cancer,"""I have thought about suicide, until the hope of a",A 48-year-old man was diagnosed with bladder
367,Four month old baby scratches his face and head with his finger,Four month old boy likes to scratch his face and head with,Four month old baby likes to scratch his face and head with,Four month old baby boy likes to scratch his face and head,Four-month-old baby likes to scratch his face and,nan
368,Dear medical doctors good day we are a resident of location previously,"Our nephew who is now 16 years old, we noticed that",Our nephew who is 16 years old now has an abnormal breast,Residents of a place hit by Super Typhoon Haiyan write to,Residents of the area that was previously affected by super typhoon,nan
369,My wife is pregnant she is in week30 of pregnancy.,"My wife is pregnant, she is 30 weeks pregnant, now",nan,i will consume finastride 1mg for my hair loss,nan,Finastride 1mg for my hair loss body by my
370,How do i know if the cause why my penis didnt growth,How do I know if the reason why my penis did not,How do i know if the cause of my penis not growing,How can i know if the cause of my penis not growing,How do i know if the reason why my penis is not,How can I find out if the reason why my penis did
371,i was diagnosed with ncs about 10 yrs ago but,I was diagnosed with NCS about 10 years ago but little,I was diagnosed with NCS about 10 years ago but little,I was diagnosed with NCS about 10 years ago but little,nan,I was diagnosed with NCS about 10 years ago but little
372,i received slushy ringers lactate from our supplier,I received mushy Lactated Ringer's from our,I received frozen Ringer's Lactate from our supplier,I received powdered Ringer's lactate from our supplier due,nan,I received slush Ringers Lactate from our supplier
373,Can you recommend a group to help a patient who has lost,Loss of taste and smell due to surgery that injured the,Can you recommend a group to help a patient who has lost,Can you recommend a group to help a patient who has lost,Can you recommend a group that helps patients who have lost their,Loss of ability to taste and smell due to surgery on
374,"""i understand your reticence to list unconfirmed","""I would then plan to get tested for those 10 lip","""I understand your reticence to list the unconfirmed","""I understand your reluctance to list the unconfirmed and unt",nan,"""I would plan to get tested for those 10 lipids"
375,i have one left side leg is paralysis last 24 years.,"I have paralysis on the left side of the leg, since",I have a left leg paralyzed for 24 years the other parts,i have a paralyzed left leg for 24 years my other body,"I have had one left leg paralyzed for 24 years, the",I have been paralyzed on my left leg for 24 years.
376,i was prescribed the medication lovasa a few years ago and,I was prescribed the drug Lovasa a few years ago and,I was prescribed the drug Lovasa a few years ago and,nan,Veteran has concerns about taking fish oil because of eye disease,nan
377,i had a thoricodimy and collaped lung,My sister-in-law has just been diagnosed with a,nan,nan,nan,nan
378,My grand child was born on date with multicystic dys,My grandchild was born with multicystic dysplastic,My nephew was born today with multicystic dysplastic,My grandchild was born today with multicystic dyspl,My grandson was born with polycystic dysplastic kidneys,My grandson was born on date with multiple dysplastic kidneys
379,Is there any risk to other individuals giving personal to someone on,I have been diabetic for 18 years and currently my body weight,nan,nan,nan,nan
380,My wife developed a very severe deep hoarse cough she has,"My wife has developed a very strong, deep, hoarse",My wife has developed a very severe deep hoarse cough.,My wife has developed a very severe deep hoarse cough.,My wife has developed a very bad deep hoarse cough.,nan
381,M masturbation is my hobby its my taboo really sir now i,I had my prostate removed several years ago because of cancer.,nan,nan,nan,nan
382,A portion of book sales to go towards cancer research as i,Name is trying to write a book about a girl with E,A 15-year-old is trying to write a book,i am currently trying to write a book about a girl with,15-year-old is writing a book about a girl,nan
383,When i was 7 my young brother suffered to me an eye,"The body does not return to normal after a viral infection,",nan,nan,nan,nan
384,I have bone marrow marrow cancer and am 22 years old.,My father died the day of his death. The hospice,nan,nan,nan,nan
385,i just want to knw if any cancer person had all,I just had a bilateral knee replacement on 1/15/,nan,nan,nan,nan
386,i have your readicat 2 barium sulfate solution,Readicat 2 Barium Sulfate Solution 21 W,I have your barium sulfate solution readicat 2,i need to know if this contains gluten or dairy. also,nan,Readicat 2 21 wv 20 ww barium
387,My daughter has a dairy allergy and i wanted to know about,My daughter has a milk allergy and I wanted to know if,J gelatin used in Adderall XR capsules contains milk,nan,I was wondering if the gelatin used in your Adderall,nan
