,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
198,stage 3 can ones bones breakfracture for example if nerve damage,stage 3 may break or fracture if there is nerve damage in the,stage 3 bones can break fracture for example if nerve damage is in,can bones break in stage 3? if the nerve damage is in,can bones break in stage 3? if there is damage to the,"stage 3 involves the bones of the bones, for example, if"
199,rubella isnt rubella a form of meas,"mumps, measles and rubella are covered in","mumps, measles and rubella are covered in","when I was a child, I had measles for","mmr vaccine protects against mumps, meas",nan
200,binge drinker is on thiamin 100mg strong,binge drinker took 100 mg of thiamine and a,nan,"thiamine, a powerful vitamin B compound, is a","thiamine, a strong vitamin B complex senn","thiamine 100 mg is a strong vitamin B compound, "
201,stem cell bioengineering technology to regrow a complete human,stem cell bioengineering to regrow a complete human tooth,stem cell bioengineering technology to regrow a complete human,stem cell bioengineering technology to regrow a complete human,stem cell bioengineering technology can regrow a complete human,stem cell bioengineering technology to regenerate a complete human
202,what drugs should i avoid as i have cmt peri,what medications should I avoid because I have CMT peripheral neuropathy?,what medications should i avoid since i have cmt peripheral neuro,what medications should i avoid as i have peripheral neuropathy C,"cmt peripheral neuropathy, what medications should I avoid, has cm",what medications should I avoid since I have CMT peripheral neuropathy?
203,the steroids have caused the following problems in his life weakness of his leg,"his roommate, an elderly gentleman, had come from west Virginia to",he has been on steroids for an extended period of time .,the steroids have caused the following problems in his life weakness of his leg,"his roommate, an older gentleman, came from west Virginia to seek",the steroids have caused the following problems in his life: weakness in his
204,doctors at my country could not find a reason why im dea,nan,nan,nan,nan,nan
205,i have diabetic which is partially controlled by medications sugar varies,nan,nan,nan,nan,nan
206,help i have lichen planus and i think at times,lichen planus has lichen and I think I'm going,help i have lichen planus and sometimes i think ,lichens disappeared after a cycle or two of Predn,help me have lichen planus and I feel like I might go,nan
207,34-year-old hemifacial microsomnia,second opinion for Hemifacial Microsomnia I am,second opinion for hemifacial microsomnia I am,hemifacial microsomnia is a 34 year,nan,hemifacial microsomnia is a 34 year
208,i was wondering if there is a name for sleep ,sleep apnea occurs during the day when one is,I am a man in my 60's and was wondering ,I am a male in my 60's and was wondering ,if there is a name for sleep apne,sleep apnea occurs during the day when you wake
209,clinicaltrialsgov question general information i have returned from ,nan,nan,nan,nan,nan
210,need up to date current treatment programs for advanced cancer plus informaton,need current treatment programs for advanced cancer as well as information on hemp oil,nan,need updated current treatment programs for advanced cancer as well as information on hemp,nan,Need Current Treatment Programs to Miss for Advanced Cancer Plus Information for He
211,drwrote a script for lipoderm patch ,my doctor wrote me a prescription for Lipoderm Patch LS,nan,my doctor prescribed me lipoderm ls 5 patch for my,I wrote a script for Lipoderm patch ls 5,my doctor prescribed me a lipoderm LS 5 patch for
212,im about to do a movie in another one month and i,i'm shooting a film in a month and need,nan,i am about to do a movie in a month and,do you have any suggestions? Can it be shipped to Nigeria?,I am about to do a movie in another month and need to
213,i need to find support for my daughter she was sick for 5,"my daughter has been ill for 5 years, has lost several jobs","daughter has been sick for 5 years, she has lost several jobs and","she has been sick for 5 years, has lost several jobs and has","she has been ill for 5 years, lost several jobs, had",she has been sick for 5 years and has lost several jobs .
214,fetal skull not closed we recently found out that our grandchild,the fetal skull is not closed . the baby will not,fetal skull not closed we recently found out that our unborn,unclosed fetal skull we recently found out that our un,unclosed skull of fetus we recently found out,"fetal skull not closed, doctors say baby will not survive "
215,my daughter got the mmr vaccination at 1 year old then she,my daughter was vaccinated against MMR at the age of,my daughter got the MMR vaccine at 1 year old . she,my daughter received the MMR vaccine at one year old . she,my daughter mistakenly got the second dose 2 weeks after the first,"my daughter got the MMR vaccine at 1 year old, then she"
216,i have dermatis caused by airborne contact from methyl,dermatitis caused by contact with methylchlorois,i have a dermatitis caused by airborne contact,i have dermatitis caused by airborne contact of ,dermatitis caused by methylchloroisothi,eczema dermatitis caused by airborne
217,i would like to ask about the possibility to make a liver,uncle's liver is damaged and needs to be replaced . ,my uncle's liver is damaged and needs to be replaced .,my uncle's liver is damaged and needs to be replaced .,uncle's liver is damaged and needs to be replaced . doctor,my uncle's liver is damaged and needs to be replaced .
218,i have a runny nose and headache and have grave,i have a runny nose and headache and have Grav,i have a runny nose and headache and I have,what is the safest over-the-counter cold medicine to,nan,nan
219,is there a drug to take if you have in the last,nan,nan,nan,nan,nan
220,i wake frequently during the night and my brain seems to engage in,i wake up frequently during the night and my brain seems to be,i wake up often during the night and my brain seems to be,a saliva test showed my cortisol levels at 9:30,"my cortisol levels were 9-6:30am, 51",a saliva test showed my cortisol level at 9:
221,i wear a cochlear implant hearing aid for 14,"my name is Name, I am from Bosnia and Herzegovina",i have been wearing a cochlear implant for 14,i have a cochlear hearing implant for 14 years,i am from bosnia and herzegovin,"my name is name, I am from Bosnia and Herzegovina"
222,hi i am having a littel eye trouble like a,nan,nan,nan,nan,nan
223,glucose tolerance test is mountain dew an acceptable glucose tolerance drink .,is Mountain Dew a suitable drink for the glucose tolerance test?,mountain dew is an acceptable drink for glucose tolerance test .,mountain dew drink ok for glucose tolerance test?PAD,nan,Mountain Dew is an acceptable drink for the glucose tolerance test .
224,daughter born 5 days ago was curiously found to have c blood,"my daughter, born 5 days ago, has been diagnosed with blood type",nan,my daughter born 5 days ago was curiously discovered with blood type C,my daughter was born 5 days ago and strangely her blood type is,my daughter turns out to have blood type C . we don'
225,my age is 56 and i am suffering from nontoxic goit,"my thyroid values T3, T4 and T5 are normal .","my thyroid tests t3t4t5 are normal, ",my thyroid tests of t3t4t5 are normal ,5 years ago my thyroid test t3t4t5 was,nan
226,cardiac event loop recorder is intrinsically safe .,Cardiac Event Loop Recorder Is there a cardiac,cardiac event recorder there is an intrinsically safe . cardiac event,nan,nan,Cardiac Event Recorder Is there a cardiac event
227,"my mother, 84, is often not hungry and would like to",my 84 year old mother is often not hungry and would like to,my 84 year old mother is often not hungry and would like to,84-year-old mother is often not hungry and would like,"mother, 84, is often not hungry and wants to try liquid",my 84-year-old mother is often not hungry and would
228,clinicaltrialsgov question general information hello my mane is name,nan,nan,nan,nan,nan
229,a woman would not have both ovaries uterus removed,postmenopausal woman would not have both ovaries,can you explain why a woman should not have both ovaries,a woman should not have both ovaries and uterus,can you discuss why women should not have both their ovaries and,a woman would not have both ovaries and a 
230,name submitted the following request on date they were searching from nl,"name submitted the following request on date they searched: NLM Product,",name sent the following request on date he was looking for from ,name submitted the following request on date they were searching from local web browser,"name submitted the following request on the date of the search, n",name Submitted the following request on the date you were searching from the
231,i was cleaning my ear with a pointed metal and mistake,nan,nan,nan,nan,nan
232,nih i am trying to determine if there is,a significant amount of the product is wasted at our facility .,the stability and storage information printed on their 125 mg3 m,the stability and storage information printed on their Levalbuterol In,levalbuterol 125 mg3 ml and 06,the stability and storage information printed on their levalbuterol in
233,the memories surfaced in 2010 as part of my recovery . ,nan,nan,nan,nan,nan
234,i have had two groing area hernias,nan,nan,nan,nan,nan
235,rheumatoid arthritisvasculitisfibromy,nan,nan,nan,nan,nan
236,diabetic ive recently heard about the pancreas implants ,type 1 diabetic recently heard about pancreatic implants .,I am a type 1 diabetic and I have recently heard about,"i am a type 1 diabetic, i recently heard",nan,I am a type 1 diabetic and recently heard about pancre
237,penis gland peels every 3 or 4 days during a week,penis gland peels every 3 or 4 days for a week,penis gland peels every 3 or 4 days during the week ,penile gland peels every 3 or 4 days for a week,nan,penis gland peels every 3 or 4 days for a week
238,mrict or pet scan patient has a family history of,the patient has a family history of cancer and is afraid of radiation,the patient has a family history of cancer and is afraid of radiation,the patient has a family history of cancer and is afraid of being,"the patient has a family history of cancer, is afraid of exposure",the patient has a family history of cancer and is afraid of exposure
239,hearing loss due to alports disease is the hearing loss the same,hearing loss due to alport disease If the hearing loss is due to,hearing loss due to alports disease if the hearing loss is,nan,hearing loss due to alport's disease If the hearing loss is,hearing loss due to alport disease is the same degree in both ears
240,metformin hcl 500mg twice a day,a friend gave me two bottles of Metformin that her mother,"metformin hcl 500mg is white, flat","metformin is white, flat, oval and has the number ",metformin hydrochloride 500mg twice a day,metformin hcl 500mg is white flat 
241,bac echinacea angustifolia hydr,I have multiple sclerosis and there is a lot of talk,bac echinacea angustifolia hydr,bac echinacea angustifolia hydr,bac Echinacea angustifolia Coptis,nan
242,i have a gland on the bottom left side of my jaw,a gland on the lower left side of my jaw swell,i have a gland in the lower left side of my jaw,a gland on the lower left side of my jaw swell,a gland on the left side of my jaw is enlarged and,a gland on the lower left side of my jaw swell
243,i am from location i have signed up to location here in,"i registered with place here in place but only me, my mother",hi im from location and was wondering if you can help me with,"I registered for location here at location, but only me, my mother","my mum, sister and 1 other person have genetic abnormalities .","my mother, sister and one other person have this genetic abnormality "
244,bruxism may be a result of tension or anxiety,bruxism can be a result of tension or anxiety,"bruxism can be the result of tension or anxiety,","bruxism can be the result of tension or anxiety,",bruxism can be a result of tension or anxiety,nan
245,herpes simplex gentle can choose the sperm to make,nan,nan,nan,nan,nan
246,boyfriend had surgery on his rectum because it came out of him,boyfriend had surgery on his rectum because it fell out of him,my boyfriend had rectal surgery because it came out a few years,my boyfriend had rectal surgery because it came out of him .,my boyfriend had rectal surgery because of a dislocated an,my boyfriend had rectal surgery because it came out a few years
247,sirmadam i am looking for list of approved products of,nan,nan,nan,nan,nan
248,"if red blood cell count becomes low, the rbc",nan,nan,nan,nan,nan
249,are there any risks for an elderly person to fly with a cracked,an elderly person can fly with a broken or bruised tailbone,nan,nan,nan,an older person will fly with a cracked or bruised tailbone
250,my daughter has been diagnosed with cf and this is one of,nan,nan,nan,nan,nan
251,i thought id try if someone used to use drugs,"if their liver fails, won't they test negative for drugs","I thought I'd test if someone was using drugs, mostly","I thought I would try if someone was using drugs, mainly","if someone used to use drugs, mainly heroin, would they",wouldn't they be able to test negative on the drug
252,can you please help me i have been taking a glu,nutritionist warned me that I could develop a shellfish allergy ,nutritionist warned me that I could develop a shellfish allergy ,nutritionist warned me that I could develop a shellfish allergy ,the product is made from shellfish meat from 3 species of crustace,nan
253,my 5 yr old grandson has tourettes his dad my,"tourette's father, my son, has it too, his",nan,grandson has tourette syndrome his father my son has it too his,"grandson has Tourette's syndrome, his dad and son also","tourette's, his father, his son, also has it"
254,clinicaltrialsgov question general information is there any information out there,clinicaltrialsgov Question General Information Is there any information on,nan,"my husband has both diseases, but I don't have much information",clinicaltrialsgov Question General Information Is there any information about,question from Clinicaltrials.gov General Information Is there any
255,is this common after surgery what is the cause .,"does this often occur after an operation, what is the causePA","it is common after surgery, what is the causePAD>","is this common after surgery, what causes it?PAD>",nan,nan
256,i see the statement there is no known way to prevent this disorder,"there is no known way to prevent this disorder, but treating other problems","there is no known way to prevent this condition, but treating other problems",there is no known way to prevent pseudogout . treating other,nlmnihgovmedlineplusency article000,nan
257,ip my daughter diagonsed when she was born 27,my daughter has IP and was diagnosed at birth 27 years ago .,ip my daughter was diagnosed when she was born 27 years ago,my daughter has IP and was diagnosed at birth 27 years ago .,ip my daughter was diagnosed at birth 27 years ago .,my daughter has IP and was diagonised when she was born
258,i have asked doctors why this happens and no one knows this morning,my blood pressure goes up at night when I'm sleeping .,my blood pressure goes up at night when I sleep I take four medicines,i have asked doctors why this is happening and no one knows this,this morning at 4am it was 164 and I took a,this morning at four am it was at 164 and I took 
259,customer service request i am looking for a companyresearch facility,I am looking for a company or research facility that can perform genetic,customer support request I am looking for a company or research center that,customer service request i am looking for a company or research center,customer service request I am looking for a research institute that can do,I am looking for a company or research center that can perform genetic
260,heritary angioedema injects white bloods cells,nan,nan,nan,nan,nan
261,a friend had chemo for breast cancer she has developed ,"a friend had chemotherapy for breast cancer, she has foam in her",a friend went through chemo for breast cancer and developed foam,a friend of mine has been having chemotherapy for breast cancer .,friend who had chemotherapy for breast cancer has developed foam in her mouth that,a friend of mine developed foam in her mouth that seems to be
262,i had my house sprayed to eradicate crickets and spider,sprayed my house to eradicate crickets and spiders .,the spray has been sprayed to eradicate crickets and spiders,my house sprayed to get rid of crickets and spiders,sprayed my home with insecticide to get rid of crickets,sprayed my house to eradicate crickets and spiders .
263,dear sir i need your help i am name i,my uncle has a heart problem due to gastrointestinal problem and intestinal,i need your help my name is i have a question,my uncle has a heart problem due to gastrointestinal problem and intestinal,"my uncle had heart problems due to stomach problems and intestinal bleeding, the",my uncle heart problem due to gastro problem and bleeding from intestinal that doctor
264,can this help when i marry the girl imwith in vitro,pheochromocytoma paragangliom,nan,can this help me when i marry the girl i am in,nan,can this help when I marry the girl who goes on Vitro
265,eyes were a problem double vision surgery 10 days ago may getting mixed,my eyes have had a year to heal but some double vision has,i had surgery on both eye muscles after a bike accident in,my eyes had a year to heal but then double vision developed ,"double vision surgery was done 10 days ago, there are different opinions on",my eyes were a problem double vision surgery 10 days ago can get
266,i want to take they said im fine what should i do,"if someone just vomits a little bit of blood, I",nan,nan,"what should i do if someone throws up blood, feels",nan
267,i have been dealing with an autoimmune disease for almost 4 years,i have been suffering from an autoimmune disease for almost 4 years,"autoimmune disease started with pain, swelling and stiffness in my feet",i have been suffering from an autoimmune disease for almost 4 years,autoimmune disease started with painful swelling and stiffness in my feet and,i have been dealing with an autoimmune disease for almost 4 years
268,muscular dystrophy belongs to locomotor disability thanks yours ,nan,nan,nan,nan,nan
269,mallot fingers to heal bent at location canada . its normal to,it is normal for Mallot fingers to heal at the site .,it is normal to expect Mallot fingers to heal bent in the position,it is normal to expect Mallot's fingers to heal bent in,nan,it is normal to expect Mallot's fingers to heal bent in
270,i am a mum of 6 months old boy who was diagnosed,our neurologist suggested to do Bobat therapy using the Vo,our neurologist suggested us to try Bobat therapy with the,our neurologist suggested to go through Bobat therapy .,"a 6 month old boy has cerebral palsy, hypot",i am a mother of a 6 months old who was
271,i used to eat shrimp all the time but suddenly developed an,it's been 8 years since my diagnosis . I'm,i was just wondering if there is a safe way to,if I'm too lazy and poor to go see an aller,shrimp allergy is something that comes up later in life and will go away,i went to an allergist and tested positive for shrimp allergy
272,blood pressure med atenolol 50mg blood,"blood pressure runs 9159 hrs 65, lower in the upper to",blood pressure is 9159 hr65 most of the time lower,blood pressure medication atenolol 50 mg blood pressure running,blood pressure medication atenolol 50mg blood pressure,nan
273,four years back my ankle had hit by the stone and there is small,nan,nan,nan,nan,nan
274,sirmadame has a rare genetic disease called pallid,nan,nan,nan,nan,nan
275,if a 60 yo male patient has a level,a 60-year-old male patient has a cobal,male patient has a cobalt or chromium level,if a 60 year old male patient has a cobal,if a 60-year-old male patient has cobal,a 60-year-old male patient has a cobal
276,i work at an inpatient pharmacy we carry azithomycin,a pharmaceutical technician has put the suspension in our fridge . the,pharmacy technician and I work in an inpatient pharmacy . we have,pharmacy technician inpatient pharmacy offers azithomycin oral suspension 100m,azithromycin 100mg5ml oral suspension on hand ,a pharmacy technician has placed the suspension in our refrigerator . the
277,the lovenox has to be given in the sq of the abdomen why,nan,nan,nan,nan,nan
278,jname suffered from mildmoderate lead paint poisoning when ,nan,nan,nan,nan,nan
279,he has a prescription for sovaldi treatment from an,he is affected by HCV genotype IIIA and has developing,he is affected by HCV genotype IIIA with evolving liver,he is affected by genotype iiia of ,he was born in italy on 23 december 2009,he is affected by HCV genotype IIIA with evolving 
280,epididymis why does it hurt when i dont finish,epididymis hurts when I don't finish my,nan,nan,my testicles sometimes hurt when I don't finish e,nan
281,my dad had some skin cancer removed 3 wks ago and,my father had skin cancer removed and a skin graft done,my dad had a skin tumor removed 3 weeks ago and had ,my father had skin cancer removed 3 weeks ago and a skin ,my dad had a skin cancer removed 3 weeks ago and a,my dad had a skin cancer removed 3 weeks ago and had 
282,what causes the above certain pressures applied to body leaves long lasting dark,pressures exerted on the body leave long-lasting dark spots,pressures applied to the body leave long-lasting dark spots .,what causes certain pressures applied to the body to leave dark spots that,nan,what causes certain pressures applied to the body to leave lasting dark spots
283,i have a knot about the size of a b,nan,nan,nan,nan,nan
284,my son has frontometaphyseal dysplasi,my son has frontometaphyseal dysplasi,my son has frontometaphyseal dysplasi,my son has frontometaphyseal dysplasi,nan,my son has frontometaphyseal dysplasi
285,im wondering if there is a correlation between blood sugar levels and,extreme blood sugar levels worsen tremors and make them seem,nan,extreme blood sugar levels would make tremors significantly worse .,extreme blood sugar levels can make tremors worse and it doesn,nan
286,hi i would like to know if the legs shortening,leg shortening can also be done on a normal person to,hi hi i would like to know if shortening the,leg shortening can also be done for a normal person to,leg shortening surgery to reduce overall height can also be done ,leg shortening can also be done for a normal person to
287,in date i had a total left hip replacement surgery during that,my femur was broken and two weeks later there was ,on date i had total left hip replacement surgery during that surgery my,"as of January 1st, my femur was broken","on a certain day I had a left hip replacement, during",on the date I had a total left hip replacement surgery .
288,i have had shingles for over 10 years and have been working,shingles pain is particularly painful in my house and in some rooms of,shingles are painful especially in my house and in some rooms of the,shingles are painful especially in my home and in certain rooms of the,I have had shingles for over 10 years and have been working with,I have had shingles for over 10 years and have been working with
289,tarlov cyst disease but most 11 are in thoracic,tarlov cyst is in the thoracic spine .,most of the 11 are in the thoracic part of the,most of the 11 are in the thoracic region of the,most of the 11 cysts are in the thoracic verte,most of the 11 are in my thoracic spine .
290,i have painful sores around my genitalswhat,nan,nan,nan,nan,nan
291,can arteries in any part of the body spasm or is,nan,nan,nan,nan,nan
292,hi team i am writing mail because of my father age 60 have,"my father, 60, has been experiencing a loss of speech volume",nan,my father is 60 years old and has suffered a loss of speech,nan,"my father, 60, has been experiencing loss of volume to speak for"
293,my teeth have decayed severely in the past 2 years .,nan,nan,nan,nan,nan
294,i have been dealing with undiagnosed issues it started 3,doctors removed my gallbladder after 3 years ago with dull sta,i have had a random sharp shooting pain in and around that,"my gallbladder had a sharp, shooting pain in and",the gallbladder was left with only a scar after the,i have had random sharp stabbing pain in and around that area
295,husband was diagnosed with rocky mountain spotted fever about 6 12 years,husband was diagnosed with Rocky Mountain Spotted Fever about 6-12,husband was diagnosed with Rocky Mountain Spotted Fever about 6-12,my husband was diagnosed with Rocky Mountain Spotted Fever about 6,husband was diagnosed with Rocky Mountain Spotted Fever about 6-12,husband was diagnosed with spotted fever about 6-12 years ago .
296,hi im looking to purchase epidermal growth factor to use topically,I'm looking to buy epidermal growth factor to use top,I would like to purchase an epidermal growth factor to use top,I am looking to purchase epidermal growth factor to use topically,I would like to buy epidermal growth factor for topical skin,I am looking to buy epidermal growth factor to use topically
297,diphtheria is there a definitive history available in print ,nan,nan,nan,nan,nan
298,i have had three neck surgeries and now my left hand no longer,nan,nan,nan,nan,nan
299,i suspect my son has cushings syndrome his recent u,nan,nan,nan,nan,nan
300,patient 65 yearwithout any other disorder has diagnosed solid adeno,nan,nan,nan,nan,nan
301,good day at the age of 50 ive started swelling for about ,I am using antistax but I am not sure if it,nan,i started swelling for about a week now its all over my,nan,i started getting swollen for about a week now
302,estradiolclimaratd patch 1s 00375,estradiolclimaratd patch 1s 00375,the estradiolclimaratd 1s 00375,nan,nan,nan
303,my 9 month old has a fever of 1035 what can ,my 9 month old daughter has a fever of 104 degrees ,nan,my 9 month old baby has a fever of 1035 .,my 9 month old has a fever of 1035 . what,my 9 month old has a fever of 1035 . what
304,excess hairs on legs appear when taking oral contraceptive only two,excessive hair growth occurs after taking oral contraceptives only twice .,excess hair on legs appeared when i took oral contraceptive only,excess hair on legs appeared since last year after severe itching on legs,how should I deal with the problem of excessive hair growth on my legs,nan
305,genetic beriberi is true that wet and dry berib,nan,nan,nan,nan,nan
306,i am male of 39 years and facing problem of sexual weekness,nan,nan,nan,nan,nan
307,hepatic liver disease i am a white mail 55,"i have liver disease, i am a white male,",the disease hit me fast and hard without taking anything away from me ,i have liver disease i am a 55 year old white,"80% of the information you have stated is true, I went from",I have liver liver disease I am a 55 year old white mail
308,pudding loaded with steroids i am allergic to steroids need to know way,pudding loaded with steroids I am allergic to steroids need to know how to,pudding loaded with steroids I am allergic to steroids I need to know how,"i was giving pudding loaded with steroids, i am allergic to",pudding steroids are allergic to steroids and need to know how to get rid,"I was giving steroid loaded pudding, I am allergic to steroids"
309,petechiae can be caused by vomiting but would this cause,"petechiae can be caused by vomiting, but would this","petechiae can be caused by vomiting, but could that",i know petechiae can be caused by vomiting but,I noticed a large cluster of red pinprick spots under my,"petechiae can be caused by vomiting, but would this"
310,sister is suffering from severe pain of right shoulder from 7 days .,the pain goes from the right ear to the fingers of the right,sister is suffering from severe pain in her right shoulder for the past 7,the pain is from her right ear to her right arm fingers ,sister has been suffering from pain in her right shoulder for 7 days ,nan
311,sir i was affected on trichoepithili,Trichoepithilioma affected me 12 years,trichoepithelioma affects my nose when I,trichoepithilioma affects my nose,i suffered from nose trichoepithelioma 12,trichoepithilioma on my nose 12
312,tourette syndrome may be a cause of hydrocephalus ,tourette syndrome is a cause of hydrocephalus .,tourette's had a shunt implanted for,tourette's syndrome is a cause of hydrocephalus,a hydrocephalus shunt has been implanted,tourette syndrome is a cause of hydrocephalus .
313,i have searched your pages and website for information on this medical condition,I have searched your pages and website for information on this disease .,nan,nan,i searched your pages and website for information about this disease but didn,nan
314,humalog remains active for about 4 hours after injection .,Humalog stays active for about 4 hours after injection .,humalog is active for about 4 hours after injection .,nan,humalog is active after injection for about 4 hours .,Humalog is activated after injection for about 4 hours .
315,i test before going to bed and the reading is 94 but,nan,nan,nan,nan,nan
316,prgf treatmetplasma is rich in growth factors for osteo,"I am a 65 year old man who is very active, especially",prgf treatmetplasma is rich in growth factors for osteo,prgf plasma rich in growth factors for osteoarthritis ,"do I recommend taking glucosamine at the same time,",glucosamine is a plasma rich in growth factors for
317,my urea is showing 40is it dangerous if it is,"my urea level is 40, is that dangerous, if",my urea shows 40 is it dangerous if it is dangerous,"my urea is 40, is it dangerous? If it is",my urea shows 40 is it dangerous if it is dangerous,"my urea shows 40, is it dangerous? If it is"
318,summers eve vaginal spray is a vagina,my vaginal area was itchy last night but I didn',last night my vaginal area was itching but I didn',summers Eve spray is a vaginal yeast infection .,summers eve vaginal spray is a vagina,my vaginal area was itchy but I didn't think
319,brother denture the lower denture hurts his gum and it makes,"my brother has a denture, the lower denture hurts","brother has dentures, his lower denture hurts his gums","my brother has dentures, the bottom dentures hurt his gums",brother wears dentures and the lower denture hurts his gum,my brother has dentures his bottom dentures hurt him chewing gum
320,hi i have been taking nifedipine for about,in the winter when I take nifedipine I regularly,"in the winter, when I take nifedipine,","in the winter, when I take nifedipine,",I have been taking Nifedipine for about 5 years ,I take the Nifedipine to treat my Raynau
321,my daughters pediatrician prescribed 14 of a 250mg tablet,my daughter's pediatrician prescribed 14 tablets of 250 mg once,my daughter's pediatrician prescribed 14 x 250mg,my daughter's pediatrician prescribed 14 250 mg tablets once ,my daughter's pediatrician prescribed me 14 250 mg tablets per,my daughter's pediatrician prescribed her 14 of a 250
322,i weekly apply the clonidine transdermal patch medical,transdermal clonidine patch is medically effective .,clonidine transdermal patch is effective for therapeutic purposes ,nan,"clonidine transdermal patch works medically, swim 3",the medical clonidine transdermal patch is effective that I
323,if it was possible to get polio and not have symptoms,if it was possible to get polio and not have symptoms,if it were possible to get polio and have no symptoms,if it was possible to get polio and not have symptoms,if it is possible to get polio and have no symptoms,nan
324,downs sydrome affects the daily routine of kids,nan,nan,nan,nan,nan
325,cardiomegaly chest pain will the heart muscle continue to thicken,cardiomegaly chest pain the heart muscle will continue to thicken,cardiomegaly chest pain the heart muscle will continue to thicken,"cardiomegaly, chest pain, will the heart muscle thicken",nan,cardiomegaly chest pain will continue to thicken the heart muscle
326,rls i had allergic reactions my neurologist,"i have been having allergic reactions, my neurologist confuse",my neurologist is confused with the ropinirol,my neurologist is confused about ropinirole,rls i have an allergic reaction my neur,my neurologist is confused about ropinirole
327,health care provider gives me shots and pain medication what can you do to,nan,nan,nan,nan,nan
328,my brother is getting tested for factor five because his daughter was tested ,my brother is being tested for factor five because his daughter was tested ,my brother is getting tested for factor five because his daughter was tested and,my brother is tested for factor five because his daughter was tested .,"factor two goes along with factor five, my brother is being tested for",my brother is getting tested for factor five because his daughter was tested 
329,fatherinlaw 84now in hospice is sweating normal .,"father-in-law 84, now in hospice, sweats","father-in-law 84, now in hospice, is sweat","father-in-law, 84, currently in palli",father-in-law 84 is now in hospice and sweating,father-in-law 84 now on palliative care
330,i have been battling anal fissure for close to,anal fissures have refused to heal all these years ,anal fissure hasn't healed all this time ,anal fissure has refused to heal all this time .,i have been struggling with anal fissure for nearly two,nan
331,in 1964 i began taking bendectin for morning sickness,my daughter developed a meningioma in the brain,in 1964 i started taking bendectin for morning sickness,in 1964 i started taking bendectin for morning sickness,nan,nan
332,33 year old i m having hand and leg tremor,33-year-old has been having hand and leg tremor,33-year-old has been having tremors in my,33-year-old has had tremors in my hands,33-year-old has constant tremors in my hands,33-year-old has been having tremors in my
333,i am looking for a resource that describes nutrient vitamin,nan,nan,nan,nan,nan
334,my father is suffering from ibs and is loosing,nan,nan,nan,nan,nan
335,i live in location tennessee and am interested in,CETP Gene Test I live in Tennessee and want to get tested to,nan,nan,"testing for cetp gene, live in tennessee and",i live in Tennessee and am interested in getting tested to see 
336,can the chunt be done from the vertebra instead of the,can the chunt be done from the vertebra instead of the,can the chunt be done from the vertebra instead of the,can the chunt be done from the vertebra instead of the,nan,can the chunt be done from the vertebra instead of the
337,i have very bad diarrhea for last two months doctors have not found,the doctors have not yet figured out what is causing it ,nan,nan,i have had severe diarrhea for the past two months . doctors,nan
338,i lost my hymen and bleed now my marriage,if the wife does not bleed on the first night of marriage,i am from a locality where i lost h,if the wife does not bleed on the first night of marriage,if the woman does not bleed on the first night of marriage,if the woman does not bleed on the first night of marriage
339,i have a faculty member looking for some very specific information ,a faculty member is looking for very specific information . she is,a faculty member is looking for very specific information . she is,I have a faculty member who is looking for very specific information ,a faculty member is looking for some very specific information . she,I have a faculty member looking for very specific information and had no
340,i have 7 sibling one die 3 with beta tha,my mother and father are carriers of beta thalassemia ,"I have 7 brothers, one died, 3 are carriers of beta ","I have 7 siblings, one died, 3 are carriers of beta ",I don't know if my mother and father are normal or,"I have 7 siblings, one of whom is dead, 3 with beta"
341,patient handouts we can order on the topic of gumperio,nan,nan,nan,nan,nan
342,it appears as if i have had this horrible disease for many,nan,nan,nan,nan,nan
343,i have a couple of questions about peyronies,I have a few questions about peyronie's disease,i have a couple of questions about peyronie',i have some questions about peyronie's disease ,"my penis is also curved, but no of the following points",nan
344,i am now 82 and thought i swim daily and do,"should the exercises be at a specific time of day, several times",I am now 82 and lose strength and get tired easily .,"should exercise be done at a specific time of day, multiple times","when and how to exercise to combat sarcopenia,",sarcopenia should be done multiple times in the day
345,gud day please ham having staphylococcus and,nan,nan,nan,nan,nan
346,azithromycin 250mg tabs are gluten free thanks you for,can you please tell me if your Azithromycin 250m,can you tell me if your azithromycin 250mg tablets,azithromycin 250mg tablets are gluten free thanksPAD,"azithromycin 250mg tablets are gluten free, thanks ",azithromycin 250mg tablets are gluten free . if
347,i just read the instructions for using a spacer with my,what happens if I breathe in according to the instructions? What am,what happens if I inhale as directed and hear a,what happens if I inhale as instructed and there is ,"if I inhale as directed, what did I do wrong",I just read the instructions for using a spacer with my Sy
348,random mutations can change human dna can environment change ,random mutations can change human DNA can the environment change DNA can change,random mutations can change human dna the environment can change,nan,random mutations can change human dna and the environment can,random mutations can change human DNA . can the environment change DNA
349,i have a higher than normal alkalilne ,nan,nan,nan,nan,nan
350,hantavirus virus if urine and feces,Hantavirus virus can still be transmitted from old fe,nan,hantavirus virus if urine and feces,Hantavirus virus If urine and feces are old,Hantavirus Virus If urine and feces are
351,if my test comes back positive for this dxis it,nan,nan,nan,nan,nan
352,i have had shingles since i was just 7 years ,i am 48 years oldi have had shingles since i,48-year-old is allergic to penicillin and valtre,48-year-old is allergic to penicillin and valtre,I have had shingles since I was 7 and have had it over,tests done waiting for some results at the moment .
