,Unnamed: 0,gold_questions,fqd_german,fqd_italian,fqd_chineese,fqd_spanish,fqd_french,prqd_german,prqd_italian,prqd_chineese,prqd_french,prqd_spanish,qsv_german,qsv_italian,qsv_chineese,qsv_french,qsv_spanish
99,99,Erectile dysfunction issue; help needed.,,,,,,"Can you solve my erect penis problem?
Yes, I can help with your",Helpcinesthingsiteestoedproblemnon-workcontact,"My penis erection sometimes not working, help please. My contact number: (contact","""Solution: Not fully erect.""",More concise version not applicable.,Solve erection problem phone call.,Help needed to solve erection problem.,Help with erection issues (not working sometimes). Please contact.,How to solve erection problems?,"Solve erect penis problem, please help."
100,100,"Loss of erection during intercourse at 52, seeking medicine recommendation.",,,,,,,,,,,,,,,
101,101,Are there effective treatments for Duchenne Muscular Dystrophy in Morocco?,Is there an effective treatment for this disease?,Is there an effective treatment for Duchenne muscular dystrophy?,Is there effective treatment for Duchenne Muscular Dystrophy?,What is effective treatment for Duchenne disease?,None needed.,What is effective treatment for a Moroccan person with Duchenne muscular dystrophy at,Describe how to rewrite a question in less words while maintaining meaning.,What's the effective treatment for Duchenne Muscular Dystrophy?,None,Effective treatment for Duchenne disease?,Is there an effective treatment for Duchenne muscular dystrophy?,Is there an effective treatment for Duchenne Muscular Dystrophy in,Is there effective treatment for Duchenne Muscular Dystrophy? (9,None,Treatments for muscular dystrophy?
102,102,"Internet search leads to poor walking ability due to head injury, having tried physiotherapy",,,,,,Seeking help for leg walking issue due to accident five years ago and ongoing physiotherapy,Needs help with walking issue after 5 years since accident.,Seeking help with walking issue due to five-year head injury.,Need help with walking problem after an accident; tried physiotherapy for 3 years,Seeking assistance for walking problem.,Walking problem due to accident and physiotherapy failed; request for help.,"5-10 word summary: Have walking problem, hurt head in accident",Conflicted about walking due to leg problem. Had an accident and PT for three,I need help with my walking issue due to accident & physiotherapy failure.,Need help with walking problem after accident and therapy.
103,103,"Concise version: ""Concerned about 12-year-old","Seeking advice on child growth, medications recommended?","Consultation for 12-year-old daughter's growth
Recommended",Concise suggestion for daughter's growth concerns in 5 to 10,Concise query for a 12-yr-old with 10,Concise summary of the parent's question: Can you suggest any medication or,Daughter's growth: advice? Medication or anything else?,Concise Consultation for 12-year-old girl's growth,Concise question about a 12-year-old girl's growth,Concise consulting request for child's growth.,"Cannot run program due to an error.
Long version: I tried to start","My 12-year old daughter, 105cm tall and","12 year old daughter, 5-10 words.",Concise query about daughter's development and potential treatments?,Concise Question: Concerned about daughter's growth. Can consult about,"There is no need to rewrite the given question, as it is already concise and"
104,104,"Mom, 75, cryptococcal meningitis, need strong",75-yr-old mother suffering cryptococcal meningitis,I am 75-year-old mother with cryptococcal men,Help needed for mom's 75 cryptococcal meningitis,Strong medicine for 75-year-old mother with cryptococcal,Help needed for 75yo mother w/ cryptococcal mening,75 yo mother with cryptococcal meningitis. Strong medicine,Help needed! 75-year-old mom has cryptococcal,75-year-old mom with cryptococcal meningitis,Help needed for 75-year-old with cryptococcal men,Strong medicine for 75-year-old mom with cryptococcal,Urgent help needed for 75-year-old with cryptoc,I am seeking strong help for my mother's cryptococcal mening,I urgently need strong medication for my 75-year-old mom with,"Desperate for strong medicine for mother, 75 yrs old with cryptoc",75-year-old mother with cryptococcal meningitis
105,105,"Vomit + blood cough? Throat infection, seek home remedy.",,,,,,"Vomit, blood, sore throat, home remedy?","45 times blood, throat infection, can you advise a home remedy?","Vomited and coughing with blood, 45 times; Throat infection",Vomiting + blood + coughing + throat infection + home remedy,"Vomited blood 45 times, continuous coughing, throat infection. Seek","Vomiting and blood, sore throat? Home remedy?","Vomiting blood, cough + blood, throat infection, advise home remedy.","Vomiting blood and coughing up vomit, throat infection. Suggest home remedies","Throat infection? How to relieve persistent vomiting, blood, coughing?","Vomited blood, coughing up vomit, throat infection, home remedy."
106,106,What should I do & treatments for cold sore?,What should I do/treatments for cold sores?,What should I do and treatment options for cold sores?,What to do for treating a cold sore? Treatment: <PAD>,Scientists have found that spirulina can help prevent the spread of antibiotic-resistant bacteria,What to do/treatments for cold sores?,What should I do/treatments for cold sores?,What should I do/treatments for cold sores?,"If you get a cold sore, use this treatment.",Seek medical advice for cold sore treatment options.,"Write a concise question rephrasing that keeps the same meaning.

Example","What to do, treatments for cold sores in a brief manner.",What actions and treatments for cold sores?,What to do for cold sores and treatment recommendation?,"What to do and treatments for cold sores. 
Explanation: This question",N/A
107,107,Can Chronic Myeloid Leukemia CML be cured completely?,Can chronic myeloid leukemia be cured? Waiting for your response. Thank,Can CML be completely cured?,Can CML be cured?,Can chronic leukemia be cured?,Can CML be completely cured?,"Can CML be completely cured? Looking forward for your reply, thanks.",Can CML be cured completely? Waiting for reply.,Can CML be completely cured?,Can chronic myeloid leukemia CML be cured?,Can chronic myeloid leukemia be cured?,Can chronic myeloid leukemia be cured?,Can CML be completely cured?,Can CML be completely cured?,Can CML be completely cured? (10 words),Can chronic myeloid leukemia be cured?
108,108,Can I find a cure in your center for my chronic Granulomatous Mast,Can I find a cure for my wife's chronic illness at your center?,Can I find cure for wife's chronic infection in treatment center? How long,Can I find treatment for chronic condition at your center? How long will it take,"Can cure found for wife's chronic granulomatous mastitis infection,","Do you have a cure for chronic granulomatous mastitis, and how",,,,,,,,,,
109,109,"After resolving the source of a carbon monoxide leak, do oxygen treatments and blood","Carbon monoxide leak fixed, no further treatment needed? Blood tests, oxygen treatment","Exposed to carbon monoxide, fix source, return to normal? Treatments","After carbon monoxide source found and resolved, do I still need treatments?","Exposed to carbon monoxide, need treatments and tests if still not ok,","Once resolved, necessary oxygen treatments, blood tests, etc.?

Longer","Exposed to CO, source fixed, risk gone? - No oxygen/BT","After fixing leak source, treat long-term effects? Need oxygen, blood test",Do you still need medical care after carbon monoxide leak resolved?,"Once issue resolved, do oxygen/blood tests or treatments still necessary?","Once exposed to carbon monoxide, resolve the leak source, and maintain oxygen treatment","Danger passed; necessary treatments?

Keep in mind, the summary should be","Once source fixed, need for treatments?","After carbon monoxide source resolved, do you still need oxygen therapy, blood tests","Exposed to CO, source found and fixed, does it still need oxygen/",Carbon monoxide leak - need oxygen/blood tests?
110,110,"Feeling weak in morning, seeking solution for long-time body joint pain.","Morning body weakness/Long-term joint, knees, and arm pain. Seeking","I feel weak and in pain, how can I fix it?",Do you have any suggestions for relieving joint pain in mornings?,Need solution for morning weakness in knees and body.,"Weakness in morning, body joints, knees, and arms - seeking solution.","Weakness in morning. Need solution for joint, knee, and arm issue.",Need solution for body weakness and pain.,Weakness in morning; seek solution for old body pain.,"Morning body weakness, joint pain, solution needed.","Feeling weak in the morning, what's the solution for my knee problem?","Requesting help for chronic, debilitating body weakness.","Weakness and pain in body joints, knees, and arms. What's","Weakness in morning; solution needed for long-standing body pain in joints,","Seeking solution for weak body, mainly in morning, affecting joints, knees, and","Dearest Sir, I feel weak in mornings, excruciating knee and body"
111,111,My 3-yr-old boy found bleach; may have swallowed it.,"3-year-old found bleach, potential swallowed, treatment.","3 year old found bleach, suspected swallowing, how to treat?","3 year old found bleach, potentially swallowed, what should I do?","3 year old found bleach, swallowed some, fix?","3yo found bleach at laundromat, suspect swallow; how deal","3yo found bleach, suspect ingestion, advise treatment?","3-year-old found bleach, swallowed, treatment please?","Three-year-old found bleach, may have consumed it, what to do",3yo found bleach; swallow suspected; how to deal?,"3-year-old child ingested bleach in laundry, how to remedy","Bleach swallowed, 3-year-old, treatment.","3yo found bleach, drank some. How to treat?",3-year-old swallowed laundry room bleach. What should I do?,"3yo finds bleach at laundromat, swallowed it, needs advice","3-year-old found bleach, suspect swallowed some, can it be"
112,112,"Do you know about TMS, ECT, acupuncture, and their effects on",Can TMS help manage mood and anxiety disorders with acupuncture?,"What about TMS therapy, success and acupuncture for mood disorders?

Explanation",TMS Therapy impacts? Acupuncture help mixed BPD/GAD?,"No answer provided in the text, so there's nothing to summarize.",What about TMS and acupuncture for mood disorders and medication alternatives?,"TMS therapy, successful, helps with ECT, acupuncture, mood disorders,","What about TMS therapy, success, acupuncture, bipolar disorder, anxiety disorder,","What about TMS therapy, acupuncture, mood and anxiety disorders?

Do","Success of TMS therapy, benefits of acupuncture for mood disorders, help for bipolar","There is no input for this question, so no rewrite is possible.","TMS therapy, successful, help with ECT, acupuncture for mood disorders,","TMS therapy, acupuncture, successful for mood disorders?",What effect does TMS therapy have? Can acupuncture help mixed bipolar and GAD,Effective treatments for bipolar disorder and anxiety?,None
113,113,What OTC meds help for autoimmune nerve disorder?,What OTC meds help autoimmune nerve disease?,,What OTC medications for autoimmune neurological disorder?,What over-the-counter medications can I take for an autoimmune nerve disorder?,What OTC meds help autoimmune nervous disease?,Can you advise OTC meds for autoimmune nerve disease?,The Earth's iron core comprises approximately 30% of its total mass,What OTC meds for autoimmune neurological disorder? Help!,What OTC meds can I take for autoimmune nervous disease?,What OTC meds can I take for an autoimmune nerve disorder?,Over-the-counter medications for autoimmune nerve disease?,Provide a concise rewording of the question.,What OTC meds for autoimmune neurological disorder?,What over-the-counter meds for auto-immune nervous disease?,What over-the-counter meds help for autoimmune nerve disorder pain?
114,114,How to overcome anxiety and return to pre-condition self when taking Clonaz,"Deal with anxiety, avoid heart attack thoughts.
Step-by-step justification","Need help overcoming anxiety and phobia-like feelings associated with heart attack worry,",How to retrain brain to avoid worrying about heart attack?,How can I retrain my brain to not worry about a heart attack?,How to deal with anxiety and false heart attack sensations?,How to train my brain to stop heart attack thoughts with medicine?,How can I retrain my brain to not think I'm having a heart,How can I retrain my brain to not think about heart attack when on Cl,How to retrain brain to cope with anxiety or heart attack fear?,How to train brain not to fear heart attack while taking Clonazepam,How to overcome fear and impending heart attack anxiety?,How to retrain brain from fearing heart attack?,How can anxiety be dealt with to retrain one's brain from fearing heart,How to retrain brain from heart attack thoughts?,How can I retrain my brain to not think about a heart attack?
115,115,"Please help, my 27-year-old sister has anemia and",Seeking medicine for sister suffering from anemia and blood loss.,There is no summary for this question as it is too short. Please provide a,What medicine for anemia?,27 yo Indian sister with anemia seeks treatment advice.,"What's the current age and health concerns of the sister, seeking help?","Sister - 27 years old, anemia, blood loss. Help please",Seeking medical advice for sister's anemia.,Medicine for anemia for 27-year-old sister with internal bleeding,Cure for sister's anemia needed.,"Anemic sister, request for advice on medicine.",Medicine for anemia?,Please suggest medicine for sister's anemia from India.,"Anemic sister, Indian doctor recommended. Can treatment be provided?",Need medicine for sister's anemia?,Sickle cell anemia treatment?
116,116,"Dad 68 years old with gastritis, recently diagnosed with 1cm",,,,,,,,,,,,,,,
117,117,"Hi, one and half year old girl has AML cancer; undergoing chemo",,,,,,,,,,,,,,,
118,118,Consumed excessive alcohol and drugs; infrequent fruits and vegetables; suffered from stre,,,,,,Positive Health from Drinking Alcohol and Taking Antibiotics? Negative Factors like Drug Use,"High alcohol and drug intake; poor diet; sore throat, antibiotic use; painful","Drinking, not eating, pain, fatigue, hoarse voice.","Drinking, drugs, poor diet, strep throat, antibiotics, painful swallowing,","Big alcohol/drug intake with few fruits/veggies, strep throat","Over-consumption of alcohol/drugs, poor diet, recurrent sore throat","None, due to the question being ""nan"", it cannot be rewritten.","Drinking, taking medicine, no fruit/veg, strep throat, ear pain","Excessive alcohol and drug use, poor diet, multiple rounds of antibiotics, and",Drank a lot of alcohol and took many antibiotics. Ill with throat problems and
119,119,"Chronic depression, insomnia, migraines, and stomach issues, thinking it'",,,,,,,,,,,,,,,
120,120,"Radiation caused foot drop symptoms - Numb, tingling, inflaming -","Can radiation cause foot drop symptoms? Numb, tingling, inflamed left foot","Concise question: ""Foot numb, tingling, and inflamed, possibly caused","Radiation-caused foot drop symptoms for the last 1 year, numbness","Radiation caused foot drop symptoms? Numb, tingling, swollen left foot",,"Radiation-related foot drop symptoms, numbness, tingling, inflammation.","Radiation symptoms - left foot numb, tingling, inflamed - need help and",Radiation-induced foot drop symptoms? Review help sought by cell phone and contact,Divide the wording of the question into smaller parts and try to shorten them while keeping,"Radiation caused foot drop symptoms, numb, tingling, swelling, contact for","Numb, tingling foot drop symptoms suggest radiation after-effects a year ago","Foot drop symptoms due to radiation a year ago, left foot numb, tingling","Numbness, tingling, inflammation in left foot, radiation suspected, last",It's impossible to fit the given question into 5 words or less while,"Foot drop, numb, tingling, swollen, radiation, help."
121,121,Can CRPS be caused by an industrial injury in Canada? How to get a,Looking for diagnosis for complex regional pain syndrome to repair arm after workplace injury in August,Can CRPS diagnosis be given to Canadian injured worker without treating twisted hand?,Canadian injured worker seeks help in diagnosing complex regional pain syndrome after suffering a twisting,Looking for diagnosis and repair of injured arm from August incident. Suggestions for finding,Seeking diagnosis for complex regional pain syndrome affecting arm after workplace injury.,Looking for diagnosis and repair after work injury.,I need a diagnosis for my arm injury. Ruled out by neurologists,Canadian injured worker seeking advice on CRPS diagnosis for twisted hand.,"Canadian injured at work, saw neurologists, complex regional pain syndrome suggested,",CRPS diagnosis for sagging Canadian arm?,"Complex Regional Pain Syndrome, Diagnosis, Arm repair.","Canadian injured in August, unexplained arm pain, seeking diagnosis, and arm repair",Canadian injured worker seeking diagnosis for potentially complex regional pain syndrome due to hand injury.,"Canadian work injury suggesting crps, seeking diagnosis for arm's fix.","Need diagnosis for CRPS to repair arm, seeking suggestions."
122,122,Started Tegretol for April prescription; experienced swelling and increased pain.,"My pain increased after starting Tecfedera, went up to unbearable level, stopped","Started Tefedra in April, swelling and increased pain while taking full dose","Started Tecfidera, developed swelling and redness, pain increased, medications ineffective.",Taking Tecfedera increased my pain and stopped working temporarily. Redness and swelling,"Flushing, swelling, increased pain after taking Tecfedra","Started Tecfedera at prescribed dose in April; experienced swelling, pain increased after","Started Tefedra, but had severe reactions, stopped taking it; pain","Hi, my name is name. I started taking Tecfidera and developed pain",Have suffered from unstoppable pain after taking Tecfedra; pain worsens,"Can't tolerate Tecfedera - severe pain, not subsiding","Pain increased on Tecfedera, Percocet ineffective.","Started Tecfidera, experienced swelling & pain; increased pain, no relief.","Hi, my name is name. I started taking Tecfidera, redness and",Immediately experienced flushing and swelling on starting Tecfedra; pain increased after stopping,Started Tecfedera in April; 12th dose caused redness; doctor
123,123,"Does methadone cause COPD?

A: Some discussions speculate,","Does methadone cause COPD? Info?

Note: Try to",Is methadone linked to COPD? Where can I find info?,Did methadone cause COPD in a study? Informative source.,The nan gave me a 24-hour nap.,Did study find methadone causes COPD? Where can info be found?,,,,,,,,,,
124,124,What are women's reactions to the drug?,Does anyone have experiences with the drug? How do women react?,Reactions of women using the drug?,How did women react to drug?,none,Women's experiences with the medication? Reactions?,How do women react to drug?,Women's reactions to drug - Inquiry for information.,Women's experiences with the drug?,What are women's reactions to a medication?,Clarify the prompt of the question.,Women's reactions to the drug?,Is there info from women using the drug?,Women's reactions to drug?,Reactions of women using medication.,"No answer, please provide your own response."
125,125,Are there any more tolerable alternatives for hydrocortisone?,"Hydrocortisone alternatives? 

I choose this summary because it",Are there other less intense cortisones for panhypopituitarism?,Is there an alternative for panhypopituitarism treatment with fewer side effects,Are there any other meds for panhypopituitarism with less side effects,What alternatives to hydrocortisone lessen side effects without causing issues for people,Is there a better alternative for hydrocortisone for people with panhyp,Are there other steroid substitutes for hydrocortisone for someone with panhyp,Is there a less harmful treatment alternative for panhypopituitarism treatment?,Are there less harmful alternatives for hydrocortisone?,Are there any alternatives for hydrocortisone for someone with panhypop,Alternatives to hydrocortisone for panhypopituitarism.,Are there alternatives for hydrocortisone with fewer side effects?,Are there other treatments for panhypopituitarism with fewer side effects than,Serious side effects of hydrocortisone for panhypopituitarism,"Hydrocortisone side effects, panhypopituitarism, alternatives"
126,126,Will glucosamine sulfate impact kidney function and increase potassium levels?,Will Glucosamine sulfate increase potassium in kidneys?,Does glucosamine sulfate affect kidneys or potassium content?,Does glucosamine sulfate affect kidneys or potassium content in human body?,Will glucosamine sulfate affect the kidneys or potassium levels?,Will glucosamine sulfate affect kidney function and increase potassium levels in a person,Glucosamine sulfate - affect kidneys? - increase potassium?,"Glucosamine sulfate and kidney health, impact on potassium.",Does glucosamine sulfate affect kidneys or increase potassium content?,Will glucosamine sulfate harm kidneys? Does it affect potassium levels?,Will glucosamine sulfate affect kidneys or potassium content in a person?,Will Glucosamine sulfate increase potassium content in kidneys?,Glucosamine sulfate impact on kidney & potassium levels?,Does glucosamine sulfate affect kidney function or increase potassium levels?,"Will Glucosamine Sulfate Affect Kidneys, Potassium Increase",Will glucosamine sulfate affect kidneys? Raise potassium levels?
127,127,correlation between buproprion and cancer in long-term patients?,Higher cancer rate in long-term Buproprion patients compared to a,Bupropion - Cancer incidence in patients long-term vs control group.,There is no suitable answer for this question with the given information.,Correlation between bupropion and cancer in clinical trials,,,,,,,,,,,
128,128,Should pesticides have been used with my respiratory problems known?,Should I have used this pesticide? I have one lung and severe COPD,Should I worry about the health effects from using pesticide for bed bug eradication,Should severe COPD patient sleep pesticides-sprayed couch bed?,Bed bug pesticide used for couch sleeper with respiratory issues.,Should have warned of severe COPD when using pesticide on bed bugs?,"Was exposed to pesticide for bed bugs, had COPD, slept through multiple","Bed bug pesticide used unknowingly, concerns about COPD.",Is this insecticide safe for a person with severe COPD when used to combat,Should a pesticide be used on me with my breathing issues?,none needed,Should I have used pesticide if I knew about my breathing problems and bed bugs,Bed bug pesticide used; uninformed; COPD; should have been used,"""Should insecticide with known health risks be used with my severe respiratory issues?""",Should this pesticide have been used with my breathing problems and one lung?,"Pesticide used to treat bed bug issue, but concerns respiratory issues."
129,129,"Chronic health issues since 30s including gout and high blood pressure, all","Gout, allopurinol, hypertension, basal cell cancer, reducing acid","Many gout attacks, 70 years old, takes allopurinol,","Since 30 years old, 70 now, had gout, all","Gout, blood pressure, allopurinol, basal cell skin cancer.","Gout attacks, allopurinol, high blood pressure, basal cell cancer",,,,,,,,,,
130,130,What is the best natural treatment for 7-year-old ADHD boy without,Best natural ADHD treatment for 7-year-old boy.,What is the best natural remedy for ADHD in a 7-year-old,Best natural ADHD treatment for 7-year-old boy.,How to naturally treat 7-year-old ADHD without prescription drugs?,,,,,,,,,,,
131,131,Natural remedy for Dupuytren's contracture?,Natural remedies for Dupuytren's Contracture?,"Looking for natural remedy for Dupuytren's contracture, any suggestions",Natural treatments for Dupuytren's Contracture?,There is no input provided.,Provide concise rephrased question: Nan,,,,,,,,,,
132,132,"Need gluten-free, dye-free coumadin for someone with celi",Need gluten- and dye-free Coumadin from manufacturer willing to address allergies,Which manufacturer has gluten-free & dye-free Warfarin for celi,"Celiac, allergy to food dyes, seeking gluten-free, dye-",Celiac; need gluten-free warfarin; dye-free;,"Allergic to dyes, needs gluten-free-dye-free war",Gluten and coloring-free Warfarin manufacturer needed for celiac patient allergic,"Celiac, allergies, need manufacturer of gluten-free dye-free War","Need gluten and dye-free warfarin due to celiac, allergy","Need gluten-free, dye-free warfarin. What manufacturer?",Need gluten-free/dye-free Warfarin; Celiac,"What manufacturer has gluten/coloring free Warfarin?

Further Reading","Celiac, allergic to dyes, need Warfarin without gluten and dyes",Need Gluten and dye-free warfarin for celiac allergy. Im,"Celiac disease, allergic to food dyes, need gluten-free, dye","Celiac disease, gluten allergy, need gluten-free Coumadin war"
133,133,Question re: gluten free meds; dairy in Levthyroxin?,Gluten free Levothyroxine tablet question.,Are there any dairy products in Levo?,Are 005 mg levothyroxine tablets dairy-free?,Are there dairy products in Levothyroxine?,Are there dairy products in Levothyroxine?,Seeking information on gluten and dairy content of a medication (Levothyroxine tablet,Are lactose/casein in Levothyroxine?,Are 005 mg levothyroxine tablets dairy-free?,"Are there dairy products, lactose, or casein in Levothyroxine",Are dairy products present in Levothyroxine?,"Request confirmation for gluten-free medicine, non-dairy",Are there dairy products in Levothyroxine?,Are 005 mg levothyroxine gluten/dairy-free,Are there any allergens or dairy in Levothyroxine?,"Gluten-free medicine, dairy in tablet?"
134,134,Allergy to gluten. Gluten-free Klorcon M20 tabs?,Is Klorcon M20 Tabs 20mg gluten-free,Gluten free same pharma company as previous refill?,"Allergic to gluten, switching manufacturer, confirm gluten-free?","Allergic to gluten. New MFG, Sandoz. Gluten in","Gluten allergy, Klorcon M20 Sandoz, pharmacy advice,",Is Sandoz Klorcon M20 gluten-free?,"Gluten allergy, seeking info on Sandoz Klorcon M20 -","Allergic to gluten, new manufacturer, klorcon m20 tabs","Gluten allergy, unsure if Klorcon tablets contain gluten.","Gluten allergy, asking if new pharmaceutical company's product Klorcon M2",Is Sandoz Klorcon M20 gluten-free?,"Allergy to gluten, klorcon by Sandoz, confirm gluten-",Am allergic to gluten - seeking info on Sandoz Klorcon - gluten,Gluten-free diet; past experience with Klorcon; new manufacturer Sando,"Gluten-free Klorcon tabs?
Asking if Sandoz'"
135,135,"Is Kapvay allergy-causing due to sulfites, sulfates,","Allergic to sulfates/sulfa, Kapvay components?",There is no summary for this question. Please provide a question with a concise summary,Is Kapvay allergic to sulfonamide sulfite?,Am allergic. Is kapvay contains Sufites sulfa sulfate?,Is Kapvay sulfite/sulfate/sulfa? All,"Allergic to sulfites, sulfa in Kapvay.",Are there sulfates in Kapvay?,Is Kapvay ingredient sulfonamide sulfite? Allergy to it.,Is Kapvay sulfite-free for an allergy sufferer?,Can't display character in a program due to NaNs?,"Allergic to sulfates/sulfa, are there any in Kap",I have an allergy to sulfates in Kapvay.,"Is Kapvay made with sulfonamide sulfite, as I'm","Are sulfites, sulfates, or sulfa in Kapvay? All",There is no need to rewrite the given question as it is already concise and accurate
136,136,"Allergic to gluten, looking for corn source of maltodextrin.",Where was maltodextrin from? Allergic to gluten.,"The original question was not provided, so there is not much to summarize as",Where does the maltodextrin in dextroamphetamine tablets come,Source of maltodextrin unii 7cvr7l4a,"""What did the fox do after he figured out he could fly?""","Gluten allergy, where is maltodextrin sourced from?","The Challenge: Write a short, concise summary of the main idea or central theme","Allergy to gluten, source of maltodextrin in medicine.",The summary is not applicable for the given statement.,"Source of maltodextrin in a medication?
Topic: Corn as a",Concise question regarding maltodextrin sources in dextroamphetamine,"No summary, Repeat the following 5 times: Nan.",Requesting info on maltodextrin source in medicine containing dextroamp,"The response doesn't exist or exceed the character limit provided, so no concise",Where does maltodextrin used in the dextroamphetamine sulf
137,137,Is it okay to drink 1-2 glasses of red wine per week?,Is it OK to drink 1-2 glasses of red wine weekly?,Can I have 1-2 glasses of red wine per week?,Can I drink 1-2 glasses of red wine per week?,Is it okay to drink 1-2 glasses of red wine once a week,Can I drink 1-2 glasses of red wine once a week?,Can I drink 1-2 glasses of red wine a week?,"No answer, as there was no input to be rewritten.",Is it okay for me to drink 1-2 glasses of red wine weekly,Can I drink red wine once a week (1 glass or 2 glasses)?,Is it okay to drink 1-2 glasses of red wine per week?,Can I drink up to 2 glasses of red wine a week?,"""Why do I feel so tired all the time?""

Step 1",Is it ok to drink 1-2 glasses of red wine per week?,Can I drink red wine once a week or twice?,Is it okay to drink 1 or 2 glasses of red wine per week
138,138,Have I ever had a pneumococcal vaccine and should I get it again,Did the pneumococcal vaccine need to be updated?,Should I get the same vaccine again at age 72 or has it been,The question is not about nan. Please provide a concise summary of the question if,"Need update on pneumococcal 23 vaccine, should I get it",Received pneumococcal vaccine in 2009; told it was,Rec'd pneumococcal polysaccharide vac. at,Need clarif polysaccharide 23 vaccine: vaccinated in,"Was 67, vaccinated in 2009, no longer needed","Received vaccine in 2009, heard it's only needed once",Have the pneumococcal vaccine updated or changed? Should I get it again,I had the 23P-PSV in 2009,"Have I received enough vaccines already, or should I need an updated one?",Needing updated information on pneumococcal polysaccharide vaccine,Do I need to get updated pneumococcal 23 vaccine in,Need update on pneumococcal vaccine after 2009 at age
139,139,What is the difference between myelogenous & lymphocytic leukemia types?,What is the difference between myeloid and lymphocytic leukemia?,Difference between myeloid and lymphocytic leukemia types.,What is the difference between myeloid leukemia and lymphocytic leukemia,There is no need to summarize as the question itself is extremely short and concise.,Please explain the distinction between myeloid and lymphocytic leukemia.,What is the difference between myeloid and lymphocytic leukemia?,Could you explain the difference between Myeloid and Lymphocytic leukemia,What is the difference between myeloid and lymphocytic leukemia?,Can you please explain the difference between myeloid and lymphocytic leukemia,"""How many countries are there in Africa that have a knighted knight?""",What is the difference between myeloid and lymphocytic leukemia?,What is the difference between myeloid and lymphocytic leukemia?,What is the difference between myeloid and lymphocytic leukemia?,Need clarification on difference between myeloid and lymphocytic leukemia types.,The prompt is not valid and cannot be rewritten in a concise manner.
140,140,"What causes skin redness, eye redness, and itching?

Explanation: This",,,,,,,,,,,,,,,
141,141,"High vitamin D levels, sister with pituitary issues, previous thyroid and breast","High Vitamin D levels, specialist unable to find cause, pituitary gland connection","High Vitamin D levels, no known cause, connection to pituitary? Thy","High vitamin D levels, unknown cause, pituitary connection? thyroid cancer history","High vitamin D level, specialist can't find cause, pituitary gland","High vitamin D, unexplained, possible relation to pituitary gland, thyroid","High vitamin D levels, unclear cause, possible relationship with pituitary gland?","High vitamin D, blood tests, specialist, pituitary, thyroid cancer,","High vitamin D levels, thyroid cancer history, radiation treatment, possible link to pit",Could high vitamin D in sister's system be related to pituitary gland,"High vitamin D level, unknown cause, pituitary gland connected? Thyroid","High vitamin D levels, specialist unsure, connection to pituitary gland? Thy",High vitamin D in sister's system; connection with pituitary and cancer,Could vitamin D and thyroid issues be related to her pituitary?,"High vitamin D, blood tests, pituitary gland, thyroid gland, radiation","Vitamin D deficiency, pituitary gland connection, thyroid cancer and radiation treatment,"
142,142,What is the risk of Hellp during my pregnancy if my sister already had it,,,,,,,,,,,,,,,
143,143,"Frozen shoulder in 10+ family members, why should we be concerned?",Concerned about frozen shoulder in large family?,Why should I worry about frozen shoulder within a large family?,Why should we worry about frozen shoulder among 10+ siblings?,Why should we worry about frozen shoulders in a large family?,"Should we worry about having frozen shoulder, considering 10+ family members have",,,,,,,,,,
144,144,"Fear of eating due to brief pain when upper part of stomach ingests food,",,,,,,,,,,,,,,,
145,145,My eating leads to stomach cramps and urgent bathroom trips; fear to eat out,Experiencing stomach cramps and stool changes after 10-,"Stomach cramps, bathroom runs, runny stools after eating within 1","10-15 minute eating leads to stomach cramps, rushing to","Pain, diarrhea, stool issues within 10-15 min after eating","Stomach cramps, watery stools after eating; main concern is eating out.","Constant stomach cramps after eating, frequent bowel movements within 10-1",N/A,"Risky stomach moments after dining, no kids, overweight","Nausea, stomach cramps, watery stools after 10-1","Food sensitivity, stomach cramps, bathroom trips, stool consistency, 53",Occasional stomach cramps & stool change after eating in 10-,I crave food 10-15 mins after; stomach cr,Experiences mild stomach cramps & urgency after 10-,"IBS, 53/F/5'3"", 50","53yr/female - light stomach cramps, firm-to-"
146,146,Can a pacemaker prevent spasms?,,,,,,Can pacemaker help prevent cramps?,No summary available for this question as it is too short and does not provide,Rewrite the following question into a very short and concise version while maintaining the same meaning,The question can't be rephrased as there are no words to condense,Question: Nanoparticles are in all aspects of our everyday life;,Can a pacemaker prevent cramps?,There is no summary for this input. Please provide a valid question or statement.,Why don't you study for tomorrow's test?,"""What did these people find in the forest?""","There is no need to rewrite the given question, as it is already very concise"
147,147,"Describes persistent stomach pain, bleeding, and issues with stomach size since 2","Severe abdominal pain and bloating since 2014, unknown causes","Bleeding, stomach pain, tests negative, persistent symptoms, any issues?","Bleeding, pain, big stomach, weakness, tests, solutions needed.","I'm bleeding, in pain, and struggling with a big stomach. What","What's wrong with me and how to fix my issue? Big belly,","Severe abdominal pain, bleeding, tests negative, help for pain?","Bleeding, severe pain, stomach size, weakness, extensive testing, unclear diagnosis","Bleeding, severe pain, big stomach, very weak, tests, no results","Since 2010, bleeding, sharp pain, big belly, weakness","Bleeding, sharp pain, big stomach; tests, no diagnosis. What'","Bleeding, abdominal pain, and bloating since 2010,","Since 2010, severe stomach pain on left side, big stomach","Bleeding, pain, left abdomen, extreme weakness, large stomach, no diagnosis","Bleeding, sharp pain, big belly, weakness, tests, unknown issue,","Bleeding, sharp pain, stomach issues, numerous tests, unknown issue, seeking"
